"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.440495832E-2,-4.837907659E-2,-1.434175819E-1,-1.857166908E0,1.863324465E0
2.445195834E-2,-1.652932948E-1,-2.025332245E-1,-1.973572692E0,1.990811581E0
3.449895832E-2,-4.909326647E-1,-3.493515471E-1,-1.988038119E0,2.077343724E0
4.454495833E-2,-6.569591638E-1,-6.955964684E-1,-1.552347463E0,1.823521986E0
5.459195832E-2,-1.006590646E0,-1.030696597E0,-6.937955260E-1,1.599034845E0
6.463895831E-2,-1.069308905E0,-1.377357255E0,-1.096984434E-1,1.747160064E0
7.468595833E-2,-5.913656102E-1,-1.692932361E0,4.485861057E-1,1.848502842E0
8.473195831E-2,3.703750648E-1,-1.855895431E0,1.367297121E0,2.334743445E0
9.477895833E-2,1.588809092E0,-1.651934609E0,2.785586055E0,3.607310903E0
1.048259583E-1,2.144041979E0,-1.278417689E0,2.045084724E0,3.227017094E0
1.148719583E-1,2.284235260E0,-1.269883093E0,9.458005804E-1,2.779365490E0
1.249189583E-1,2.286781138E0,-1.776213961E0,-3.158548951E-2,2.895738533E0
1.349659583E-1,1.687050939E0,-2.494768060E0,-1.493328007E0,3.361552778E0
1.450129583E-1,8.317225724E-1,-2.896941892E0,-3.241212208E0,4.426001733E0
1.550589583E-1,1.216771663E0,-3.382065494E0,-4.092786663E0,5.446999445E0
1.651059583E-1,2.213507339E0,-4.786099793E0,-5.787639542E0,7.829632012E0
1.751529583E-1,-4.298974689E0,-4.530969110E0,-9.372631778E0,1.126308532E1
1.851989583E-1,-6.520878046E0,-1.001426312E0,-3.520921370E0,7.478074113E0
1.952459583E-1,-3.016811567E0,-1.601222584E0,-6.117947584E-1,3.469777892E0
2.052929583E-1,-7.236730438E-1,-4.744096027E0,-5.939911562E-1,4.835594615E0
2.153399583E-1,-7.054162824E-1,-4.207585340E0,-6.066427767E-1,4.309222898E0
2.253859583E-1,-1.074311855E0,-2.525319762E0,-1.952888167E-1,2.751276719E0
2.354329583E-1,-1.575390755E0,-1.658984012E0,5.020705873E-1,2.342255079E0
2.454799583E-1,-1.645923963E0,-8.098440456E-1,3.282322812E-1,1.863504629E0
2.555269583E-1,-1.467754040E0,-5.806559962E-1,1.304595673E-1,1.583819120E0
2.655729583E-1,-1.423245619E0,-9.365520394E-1,8.026689273E-1,1.883357433E0
2.756199583E-1,-1.874574654E0,-8.554713312E-1,1.622781268E0,2.622838229E0
2.856669583E-1,-1.736879742E0,1.199804067E0,2.966368514E0,3.640827268E0
2.957129583E-1,-6.301474142E-1,3.778799076E0,4.292762607E0,5.753626597E0
3.057599583E-1,-1.941544569E0,3.154809657E-1,2.718356524E0,3.355381609E0
3.158069583E-1,-2.546577607E0,-3.585476678E0,2.647888804E0,5.133421435E0
3.258539583E-1,-2.628843838E0,-3.879032046E0,3.854310311E0,6.067406160E0
3.358999583E-1,-3.166349722E0,-1.937088990E0,6.065601556E0,7.111231015E0
3.459469583E-1,-2.593608516E0,-1.566298042E0,8.355920843E0,8.888279239E0
3.559939583E-1,-3.312102681E-1,-2.409053141E0,8.698872321E0,9.032364969E0
3.660399583E-1,2.118787124E0,-1.835425791E0,8.288312413E0,8.749523950E0
3.760869583E-1,3.695435030E0,2.405025579E-2,8.319675708E0,9.103506048E0
3.861339583E-1,4.150267716E0,1.853839550E0,7.117834325E0,8.445413469E0
3.961803333E-1,5.540036271E0,2.925922739E0,4.775124862E0,7.877489651E0
4.062263333E-1,5.714414860E0,4.071959758E0,2.267720384E0,7.374140574E0
