"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.180475001E-2,-5.207617968E-1,1.125030604E0,-1.822357264E0,2.204058235E0
2.185075000E-2,-3.053034483E-1,1.170066005E0,-1.691219419E0,2.079059349E0
3.189675001E-2,1.690693170E-2,1.276692175E0,-1.274280199E0,1.803889902E0
4.194275002E-2,5.165452234E-1,1.190316082E0,-9.018488145E-1,1.580190694E0
5.198975001E-2,1.124449391E0,1.011424466E0,-5.122716397E-1,1.596805598E0
6.203600002E-2,1.396837693E0,3.615326129E-1,-3.982450873E-1,1.496816796E0
7.208200000E-2,1.784736863E0,-2.613636692E-1,-2.350902289E-1,1.819028327E0
8.212800001E-2,2.169519175E0,-7.101624674E-1,2.576224744E-2,2.282938429E0
9.217400002E-2,2.176277533E0,-1.240000897E0,1.553488255E-1,2.509565576E0
1.022200000E-1,1.903557109E0,-1.460761062E0,7.236689508E-2,2.400539422E0
1.122670000E-1,1.723160127E0,-9.419573517E-1,-4.884530067E-2,1.964421121E0
1.223130000E-1,2.073831975E0,-4.771965684E-1,-5.886345220E-1,2.207937098E0
1.323590000E-1,2.807457857E0,-6.770679577E-1,-1.000560340E0,3.056364120E0
1.424050000E-1,3.322202869E0,-1.109221268E0,-6.964717966E-1,3.571061003E0
1.524510000E-1,4.190462938E0,-1.089872246E0,-7.354586917E-1,4.391890326E0
1.624970000E-1,5.194022607E0,-7.846754368E-1,-1.193119091E0,5.386754083E0
1.725430000E-1,5.442326374E0,-1.092721960E0,-1.153248097E0,5.669474298E0
1.825900000E-1,5.688000063E0,-1.548370625E0,9.683573842E-3,5.894988557E0
1.926360000E-1,6.058512976E0,-1.986966909E0,5.209231800E-1,6.397263316E0
2.026820000E-1,5.637824521E0,-3.126397159E0,3.148533840E0,7.174447008E0
2.127280000E-1,3.576750001E0,-3.772881401E0,5.103542207E0,7.285184809E0
2.227740000E-1,1.272121699E-1,-4.084256160E0,3.173904324E0,5.174069962E0
2.328200000E-1,8.493859877E-1,-2.943752654E0,2.762912307E0,4.125629728E0
2.428670000E-1,2.991760925E0,-3.068321151E0,3.920390280E0,5.808157028E0
2.529130000E-1,2.891053453E0,-1.131979143E0,4.176502419E0,5.204107925E0
2.629590000E-1,1.746420351E0,-2.230362669E-1,3.108235999E0,3.572234629E0
2.730050000E-1,1.035317067E0,-1.187068320E0,1.629191571E0,2.266115134E0
2.830510000E-1,2.572900602E-1,-1.155957770E0,1.559671100E0,1.958318279E0
2.930970000E-1,-2.138315070E-1,-1.338358666E0,2.487125457E0,2.832440797E0
3.031430000E-1,-4.515725711E-1,-1.734908645E0,3.931040983E0,4.320521844E0
3.131900000E-1,-1.032122148E0,-1.335244731E0,4.747414030E0,5.038461530E0
3.232360000E-1,-1.621211876E0,-5.040326205E-1,4.919358423E0,5.204081487E0
3.332820000E-1,-2.135985539E0,7.401580989E-1,4.048306893E0,4.636707553E0
3.433280000E-1,-3.056136723E0,1.534173001E0,2.828574784E0,4.437847877E0
3.533740000E-1,-3.340069329E0,1.769645930E0,1.885494913E0,4.224073971E0
3.634200000E-1,-3.701154191E0,3.477171041E-1,2.258048505E0,4.349509465E0
3.734660000E-1,-5.155256152E0,-7.474351050E-1,2.965352268E0,5.994050326E0
3.835130000E-1,-6.970004434E0,-1.358013058E0,3.732839084E0,8.022421636E0
3.935590000E-1,-8.715170265E0,-1.207070402E0,4.472535837E0,9.869893035E0
4.036050000E-1,-8.887732708E0,1.173641523E-1,3.572207299E0,9.579469298E0
4.136510000E-1,-9.268998651E0,5.109574780E-1,2.101196360E0,9.517901012E0
4.236970000E-1,-8.714415974E0,2.012071491E0,2.248959593E0,9.222109124E0
4.337430000E-1,-6.989046476E0,2.993068655E0,2.279490244E0,7.937336228E0
4.437890000E-1,-5.805189375E0,3.654793957E0,1.048577675E0,6.939543046E0
4.538360000E-1,-6.108447613E0,4.334998215E0,5.809585896E-1,7.512845976E0
4.638820000E-1,-6.495188888E0,4.538152414E0,7.296664399E-1,7.957054678E0
4.739280000E-1,-5.974808330E0,4.447916136E0,9.238665050E-1,7.505719276E0
4.839740000E-1,-5.082461826E0,4.609482306E0,1.246348196E0,6.973674007E0
4.940200000E-1,-3.735683754E0,4.603544751E0,8.317658418E-1,5.986634430E0
5.040660000E-1,-4.337772719E0,3.641770454E0,-1.014545125E0,5.753960898E0
5.141120000E-1,-6.144188134E0,3.483214431E0,-1.842532496E0,7.299229863E0
5.241590000E-1,-3.805085526E0,3.951041969E0,1.326798720E0,5.643563001E0
5.342050000E-1,-2.803570921E0,2.720467953E0,2.377536356E-1,3.913755560E0
5.442510000E-1,-2.650464503E0,2.453680845E0,-9.008957183E-1,3.722515932E0
5.542970000E-1,-1.447166578E0,2.626002091E0,8.399879772E-2,2.999538946E0
5.643430000E-1,-5.277217376E-1,1.532629628E0,-8.007067479E-2,1.622915624E0
5.743890000E-1,8.472375745E-1,5.127594437E-1,4.174385726E-1,1.074704013E0
5.844350000E-1,2.936597416E0,-1.619380528E-1,1.448023195E0,3.278200648E0
5.944820000E-1,4.402720082E0,-1.599262013E0,1.502785732E0,4.919344272E0
6.045280000E-1,4.579714715E0,-3.628351679E0,-1.501448035E-1,5.844764002E0
6.145740000E-1,6.499454432E0,-2.570896177E0,-5.106746189E-1,7.008081309E0
6.246200000E-1,8.979572001E0,-7.136731356E-1,7.573838501E-1,9.039672171E0
6.346660000E-1,8.777793944E0,-8.722940630E-1,3.746884096E-1,8.828983796E0
6.447120000E-1,1.133711614E1,-2.085559444E0,-1.416838971E0,1.161409460E1
6.547580000E-1,1.407868962E1,-4.272631813E0,-2.256648389E0,1.488480252E1
6.648050000E-1,1.380273612E1,-2.594256096E0,-2.738072165E0,1.430883393E1
6.748510000E-1,1.475407811E1,-1.375456033E0,-1.082757808E1,1.835241530E1
6.848970000E-1,1.701897604E1,-1.039308668E0,-1.431433124E1,2.226265454E1
6.949430000E-1,1.569507988E1,-5.999395287E-1,-3.101933870E0,1.600991735E1
7.049890000E-1,1.418059022E1,-2.129434319E0,5.509269977E-1,1.435016202E1
7.150350000E-1,1.305431825E1,-3.365857012E0,5.019846332E-1,1.349059698E1
7.250810000E-1,1.248460999E1,-2.946565164E0,2.248457901E0,1.302318302E1
7.351280000E-1,1.223658982E1,-2.272272441E0,2.756648769E0,1.274741012E1
7.451740000E-1,1.174694281E1,-2.085540148E0,1.757825053E0,1.205943995E1
7.552200000E-1,1.025768154E1,-2.056166075E0,-7.704094000E-1,1.049006102E1
7.652660000E-1,7.758172851E0,-1.630321838E0,-4.680031301E0,9.205970251E0
7.753120000E-1,5.607965714E0,-9.824845496E-1,-6.307549399E0,8.497042707E0
7.853580000E-1,3.482797524E0,-9.989985484E-1,-5.097906661E0,6.254320828E0
7.954040000E-1,1.249656989E0,-1.422417653E0,-3.191565839E0,3.710930756E0
8.054500000E-1,-5.599901819E-1,-1.338762416E0,-3.240022592E-1,1.486893162E0
8.154970000E-1,-2.338110920E0,-7.478077188E-1,2.243965924E0,3.325862614E0
8.255430000E-1,-3.871675372E0,-7.696602255E-1,4.146506202E0,5.725011855E0
8.355890000E-1,-4.584629300E0,-1.061589776E0,5.777866505E0,7.451814546E0
8.456350000E-1,-4.610177540E0,-1.077387199E0,6.914324323E0,8.379879532E0
8.556810000E-1,-4.628688070E0,-9.663743010E-1,7.184374470E0,8.600806303E0
8.657270000E-1,-5.524488525E0,-8.164072528E-1,6.434883045E0,8.520223827E0
8.757730000E-1,-6.340430632E0,-4.783612972E-1,5.401918606E0,8.343297594E0
8.858190000E-1,-6.878869146E0,4.166912985E-1,4.333942793E0,8.140978596E0
8.958660000E-1,-7.591882716E0,1.520568138E0,3.001709086E0,8.304159685E0
9.059120000E-1,-8.124132537E0,2.596571593E0,1.304840087E0,8.628228159E0
9.159580000E-1,-8.621695506E0,5.046516067E0,-7.752026843E0,1.264495465E1
9.260040000E-1,-8.672068684E0,7.855658800E0,-1.820898617E1,2.164447569E1
9.360500000E-1,-6.795106612E0,4.961156659E0,-1.198860472E1,1.464626889E1
9.460960000E-1,-3.336628827E0,8.350367743E-1,-6.842804689E0,7.658613084E0
9.561420000E-1,-5.355302263E0,1.797521215E0,-3.696396897E0,6.750829199E0
9.661890000E-1,-6.197945096E0,2.014901690E0,-2.210814879E-1,6.520983764E0
9.762350000E-1,-4.276378709E0,1.925706800E0,-7.576471210E-1,4.750767381E0
9.862810000E-1,-1.319756334E0,9.421089408E-1,-3.701696813E-2,1.621942136E0
9.963270000E-1,2.221789920E-1,-5.826963821E-1,1.188832498E0,1.342468356E0
1.006373000E0,4.410654169E-1,2.695525485E-1,5.880954087E-2,5.202459423E-1
1.016419000E0,9.800465530E-1,1.007022098E0,-3.958687057E-1,1.459896155E0
1.026465000E0,1.166176291E0,-1.691149253E-1,1.399535159E0,1.829553405E0
1.036511000E0,-5.062987089E-2,-2.025868435E0,2.172607235E0,2.971014725E0
1.046557000E0,-2.012502285E0,-2.846654960E0,1.810527177E0,3.928309887E0
1.056604000E0,-3.110932735E0,-2.118878340E0,1.384307256E0,4.010468113E0
1.066649125E0,-3.717735726E0,-2.178640392E0,1.898058826E0,4.708573053E0
1.076695125E0,-3.140222608E0,-1.175155275E0,1.760343449E0,3.786924478E0
1.086741125E0,-4.813322675E-1,6.749505347E-1,7.235666245E-1,1.100357958E0
1.096787125E0,8.418353319E-1,1.248737807E0,1.529797091E0,2.146697924E0
1.106833125E0,8.677975541E-1,1.204795396E0,1.148694286E0,1.877259466E0
1.116879125E0,-4.035544760E0,1.432844408E0,1.914865185E-1,4.286645740E0
1.126925125E0,-5.968409722E0,1.364763522E-1,-1.544568327E-1,5.971967625E0
1.136972125E0,1.261216350E0,-2.074574572E-1,7.507878692E0,7.615900980E0
1.147018125E0,-5.419392425E-1,3.692438332E0,4.946130484E0,6.196128287E0
1.157064125E0,-4.263265743E0,3.324176012E0,-2.081172570E0,5.792828344E0
1.167110125E0,-5.425502180E0,3.769780623E0,-3.294383279E0,7.382430565E0
1.177156125E0,-4.886767797E0,3.963142782E0,-4.097009522E-1,6.305145128E0
1.187202125E0,-3.605540521E0,4.575220546E0,9.513003545E0,1.115481071E1
1.197248125E0,-7.831554238E0,7.010924419E0,1.958037225E0,1.069206307E1
1.207294125E0,-8.293510002E0,6.298697884E0,-8.087483359E0,1.318572297E1
1.217341125E0,-5.418821152E0,8.801499141E0,-1.440869712E1,1.773247198E1
1.227387125E0,-1.080819806E0,9.116736571E0,-1.411707074E1,1.683967766E1
1.237433125E0,1.365238316E0,4.883384598E0,-4.232907877E0,6.605212327E0
1.247479125E0,3.259857810E0,1.387156019E0,3.863921964E-1,3.563730305E0
1.257525125E0,4.095855866E0,6.540771443E-1,-1.659844722E-1,4.151072516E0
1.267571125E0,4.539049670E0,8.755035996E-1,1.720275696E-1,4.625913093E0
1.277617125E0,7.633900223E0,5.175926059E-1,1.701600858E0,7.838353156E0
1.287663125E0,1.090500808E1,-1.724093050E0,2.191668866E0,1.125589225E1
1.297710125E0,1.252985692E1,-3.799433607E0,2.971338063E0,1.342616327E1
1.307756125E0,1.328411149E1,-4.944023733E0,4.809061224E0,1.496790094E1
1.317802125E0,9.910072757E0,-4.494254735E0,3.935355644E0,1.157129603E1
1.327848125E0,6.433824699E0,-6.924930587E0,2.430671759E0,9.759965630E0
1.337894125E0,3.406558603E0,-8.280872415E0,1.931870935E0,9.160219145E0
1.347940125E0,3.404506815E0,-5.865489371E0,3.766191602E0,7.757501621E0
1.357986125E0,3.868592720E0,-7.211270492E0,4.640859050E0,9.407762989E0
1.368032125E0,4.043310447E0,-1.151523520E1,5.809951347E0,1.351682417E1
1.378078125E0,1.370759257E0,-9.735436306E0,3.135361817E0,1.031931174E1
1.388125125E0,7.215972823E-1,-3.962851006E0,-3.133256820E0,5.103154812E0
1.398171125E0,1.073080432E0,2.415356147E-1,-5.330272672E0,5.442577315E0
1.408217125E0,-4.908106041E-1,1.881780177E-1,-3.856966116E0,3.892620408E0
1.418263125E0,-2.255543557E0,-7.864534289E-1,-5.165294652E0,5.690892248E0
1.428309125E0,-2.874758433E0,1.568532556E0,-6.474873322E0,7.255929642E0
1.438355125E0,-1.964620605E0,1.589872554E0,-3.654809160E0,4.443541252E0
1.448401125E0,7.323865646E-1,5.217856443E-1,3.523684180E-1,9.658228826E-1
1.458447125E0,-1.284843779E-1,7.278619891E-1,3.815888257E0,3.886810325E0
1.468494125E0,-4.592929423E-2,2.592392296E-1,1.452413870E0,1.476082832E0
1.478540125E0,5.562374389E-1,4.916233671E-1,-1.464714072E0,1.642096507E0
1.488586125E0,3.528384756E0,-4.181799996E-1,-1.087714258E0,3.715843889E0
1.498632125E0,1.639273340E0,-3.788153744E-1,-7.240117438E-1,1.831641662E0
1.508678125E0,-2.168714159E0,2.837940270E-1,9.890348929E-1,2.400427081E0
1.518724125E0,-2.513352558E0,-2.882611243E0,1.097024195E0,3.978674496E0
1.528770125E0,-5.067690589E0,-9.717464304E-1,-6.409834743E-1,5.199676802E0
1.538816125E0,-4.384057524E0,-2.980098946E0,-3.927948976E0,6.597706667E0
1.548862125E0,-4.747940864E0,-7.498389246E0,-7.011129656E0,1.131038120E1
1.558909125E0,-2.878350377E0,-6.786816430E0,-1.065529688E1,1.295689507E1
1.568955125E0,-4.795192214E0,-8.930436094E0,-2.598005623E0,1.046404274E1
