"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.975770835E-2,2.091841400E-2,1.112888861E-1,-7.682949007E-2,1.368413927E-1
2.980270833E-2,1.250836372E-2,9.944944382E-2,-1.270102948E-1,1.617969902E-1
3.984670834E-2,-3.729675740E-2,6.596243978E-2,-1.485917830E-1,1.667981102E-1
4.989170835E-2,-6.766778022E-2,4.740659326E-2,-7.133310735E-2,1.091545957E-1
5.993670833E-2,-1.263326025E-1,5.058455497E-2,-7.516011000E-2,1.554598527E-1
6.998070834E-2,-9.721259147E-2,6.280874401E-2,-1.187130958E-1,1.657951307E-1
8.002570835E-2,-6.703248024E-3,9.702372640E-2,-1.468598378E-1,1.761429788E-1
9.007070833E-2,2.084321880E-1,1.252105218E-1,-3.447448182E-1,4.218656676E-1
1.001147083E-1,1.371563834E-1,1.954557547E-1,-3.615701813E-1,4.332987670E-1
1.101597083E-1,1.464484861E-1,1.472492623E-1,-2.231700951E-1,3.048514322E-1
1.202047083E-1,1.257750705E-1,1.780722749E-1,-3.007912982E-1,3.714895806E-1
1.302487083E-1,1.378457701E-1,1.963240662E-1,-4.347141713E-1,4.965088177E-1
1.402937083E-1,2.302019566E-1,2.878762606E-1,-3.549715984E-1,5.117328579E-1
1.503387083E-1,1.615764025E-1,3.056228524E-1,-3.146182090E-1,4.674364975E-1
1.603827083E-1,-2.606291127E-1,-5.773207444E-1,-9.561302716E-1,1.146914065E0
1.704277083E-1,-2.392958388E-1,2.548032394E-1,-5.889631355E-1,6.848830296E-1
1.804717083E-1,4.402631789E-2,3.903700572E-1,2.881472790E-1,4.871919054E-1
1.905167083E-1,-2.182941020E-2,-2.710067511E-1,1.748843729E-2,2.724463758E-1
2.005617083E-1,-2.690993893E-1,-2.349808860E-1,-1.358173710E-1,3.822000214E-1
2.106057083E-1,-3.571990952E-1,-1.077130213E-1,1.563598090E-1,4.045264867E-1
2.206507083E-1,1.356016088E-1,-3.758166298E-1,2.566822422E-1,4.748807313E-1
2.306957083E-1,8.901760179E-1,1.306016546E-1,1.121110046E-1,9.066636710E-1
2.407397083E-1,-1.107983047E-1,6.950556010E-1,-2.775287354E-1,7.565717096E-1
2.507847083E-1,1.529333407E-1,-8.443905652E-2,-7.173539579E-2,1.888505440E-1
2.608297083E-1,-1.085173059E-1,2.093899620E-1,2.770358151E-1,3.638255141E-1
2.708737083E-1,-1.574605474E-1,1.864068961E-1,3.316540718E-1,4.117472262E-1
2.809187083E-1,-4.950369716E-2,6.779846549E-2,5.313113433E-1,5.379023996E-1
2.909637083E-1,-5.459662199E-2,9.853698581E-2,5.877790743E-1,5.984768742E-1
3.010077083E-1,-3.391677439E-2,8.663702488E-2,5.565192747E-1,5.642428775E-1
3.110527083E-1,8.171893179E-2,6.959268361E-2,5.135381466E-1,5.246356388E-1
3.210967083E-1,1.771051455E-1,8.211011052E-2,4.489041942E-1,4.895133077E-1
3.311417083E-1,2.000233072E-1,4.616201341E-2,4.233699882E-1,4.705129136E-1
3.411867083E-1,2.136283162E-1,2.970385551E-3,4.937499994E-1,5.379915823E-1
3.512307083E-1,2.778889239E-1,-2.463402718E-2,4.348428100E-1,5.166404540E-1
3.612757083E-1,4.217047012E-1,9.790285528E-3,2.843150139E-1,5.086902120E-1
3.713207083E-1,4.570917580E-1,5.102868024E-1,1.568749487E-1,7.028052685E-1
3.813647083E-1,6.051166534E-1,4.121825105E-1,1.245585573E-1,7.426812374E-1
3.914097083E-1,1.202833948E0,-9.135163486E-1,4.371027589E-2,1.511036801E0
4.014547083E-1,1.168534766E0,-8.703577575E-1,-1.393818337E-1,1.463701957E0
4.114987083E-1,9.376720735E-1,-6.556830820E-1,-2.169328701E-1,1.164563906E0
4.215437083E-1,8.903526038E-1,-7.366123474E-1,-4.838875008E-1,1.252785945E0
4.315887083E-1,8.839452249E-1,-1.183449259E0,-9.153079355E-1,1.737728381E0
4.416327083E-1,7.812912145E-1,-1.559096611E0,-1.349949017E0,2.205348170E0
4.516777083E-1,5.757092518E-1,-1.853945092E0,-1.604045620E0,2.518236664E0
4.617217083E-1,3.095223606E-1,-2.084982323E0,-1.823720834E0,2.787276998E0
4.717667083E-1,8.791961163E-2,-2.380423419E0,-2.267937316E0,3.289024959E0
4.818117083E-1,-1.966898096E-1,-2.595015064E0,-2.970387890E0,3.949176406E0
4.918557083E-1,-6.843592894E-1,-2.462908044E0,-3.455596862E0,4.298303542E0
5.019007083E-1,-1.013171030E0,-2.133572978E0,-3.633372098E0,4.333594581E0
5.119457083E-1,-1.015822157E0,-1.891296813E0,-3.858320332E0,4.415374737E0
5.219897083E-1,-1.010184857E0,-1.628289638E0,-4.061334490E0,4.490683514E0
5.320347083E-1,-8.229821545E-1,-1.282370114E0,-4.025003400E0,4.303768709E0
5.420797083E-1,-4.614833093E-1,-9.968575904E-1,-3.473789889E0,3.643337493E0
5.521237083E-1,-1.327885133E-1,-9.065721953E-1,-2.458992164E0,2.624147175E0
5.621687083E-1,4.782554626E-2,-1.040024368E0,-1.409768372E0,1.752536684E0
5.722137083E-1,2.518460101E-1,-1.280957719E0,-7.079545587E-1,1.485085435E0
5.822577083E-1,6.737840152E-1,-1.213249593E0,-3.611029887E-1,1.433999596E0
5.923027083E-1,8.788949847E-1,-8.373557800E-1,-4.294668800E-1,1.287657912E0
6.023477083E-1,7.350762838E-1,-6.142751473E-1,-6.254643792E-1,1.144061532E0
6.123917083E-1,6.444467801E-1,-3.277867234E-1,-5.250057060E-1,8.935249183E-1
6.224367083E-1,7.001970577E-1,-2.580390885E-1,-4.778818256E-1,8.861326820E-1
6.324807083E-1,4.094302261E-1,-5.503735587E-1,-2.965392029E-1,7.473149691E-1
6.425257083E-1,-4.710750818E-2,-8.231333050E-1,8.215922713E-2,8.285636329E-1
6.525707083E-1,-2.641257477E-1,-9.828641801E-1,7.088111758E-2,1.020200245E0
6.626147083E-1,-4.790424979E-1,-1.148582312E0,-6.240265489E-2,1.246040582E0
6.726597083E-1,-8.069198531E-1,-1.370941105E0,-1.546179235E-2,1.590860846E0
6.827047083E-1,-8.824296266E-1,-1.597107168E0,9.781222343E-3,1.824699708E0
6.927487083E-1,-1.024218174E0,-1.896348223E0,-1.097522378E-1,2.158055839E0
7.027937083E-1,-1.296259298E0,-2.398255673E0,-3.493226033E-1,2.748444054E0
7.128387083E-1,-1.196379499E0,-2.428855760E0,4.180648094E-1,2.739606248E0
7.228827083E-1,-8.322529149E-1,-2.256131787E0,1.949221378E0,3.095519268E0
7.329280833E-1,-7.280958778E-1,-2.410120258E0,2.487969210E0,3.539603658E0
7.429730833E-1,-6.131261694E-1,-2.616524924E0,1.748219832E0,3.205994223E0
7.530170833E-1,-4.108376509E-1,-2.743730516E0,9.544053429E-1,2.933894047E0
7.630620833E-1,-2.168720591E-1,-2.593172607E0,9.572102523E-1,2.772693478E0
7.731060833E-1,-7.212832868E-2,-1.974493921E0,1.599001812E0,2.541778026E0
7.831510833E-1,1.703048337E-1,-1.515504449E0,2.088108537E0,2.585721318E0
7.931960833E-1,4.476546443E-1,-8.295839533E-1,2.827529302E0,2.980524479E0
8.032400833E-1,7.593539232E-1,-9.361129135E-2,3.705294020E0,3.783462069E0
8.132850833E-1,8.223927552E-1,7.671637568E-1,4.170739403E0,4.319714949E0
8.233300833E-1,3.482163101E-1,2.300369482E0,3.964259600E0,4.596553984E0
8.333740833E-1,3.770577013E-2,3.236230965E0,2.911207636E0,4.353130194E0
8.434190833E-1,7.172791135E-1,2.314320646E0,1.559096319E0,2.881206468E0
8.534640833E-1,1.380107201E0,1.908742273E0,1.528293772E0,2.807788241E0
8.635080833E-1,1.888492196E0,1.550232671E0,2.221125092E0,3.301972257E0
8.735530833E-1,2.541336163E0,9.031565443E-1,2.901725791E0,3.961577186E0
8.835980833E-1,2.420513391E0,1.139616045E0,3.241617420E0,4.203057614E0
8.936420833E-1,2.030988257E0,2.197268598E0,3.192759548E0,4.375684646E0
9.036870833E-1,2.199741240E0,2.901594229E0,2.847792828E0,4.622557147E0
9.137310833E-1,2.328299877E0,3.153423282E0,2.381884931E0,4.586767330E0
9.237760833E-1,2.234012940E0,3.558941136E0,2.070385919E0,4.684375484E0
9.338210833E-1,2.108401884E0,3.812686322E0,1.916183440E0,4.759589737E0
9.438650833E-1,1.855327374E0,3.911306338E0,2.164542463E0,4.840020765E0
9.539100833E-1,1.609829101E0,4.237947592E0,2.223140627E0,5.049168622E0
9.639550833E-1,1.176295483E0,4.833215488E0,1.990507983E0,5.357776128E0
9.739990833E-1,9.834338450E-1,5.534632275E0,1.831208779E0,5.912074266E0
9.840440833E-1,8.984597683E-1,5.373744966E0,1.677924020E0,5.700859053E0
9.940890833E-1,4.969466722E-1,4.637434335E0,1.298979422E0,4.841497780E0
1.004133083E0,2.138765305E-1,3.822552913E0,5.049848396E-1,3.861691810E0
1.014178083E0,1.490233076E-1,3.264341747E0,-1.956767794E-1,3.273595025E0
1.024223083E0,6.325868726E-2,2.941343016E0,1.003762275E-2,2.942040305E0
1.034267083E0,3.828815281E-1,2.519965759E0,-6.106276542E-1,2.621009695E0
1.044312083E0,1.144329339E-1,2.809799960E0,-1.643716932E0,3.257280470E0
1.054357083E0,1.707053679E-1,3.076673314E0,-1.728745387E0,3.533216611E0
1.064401083E0,1.193863442E0,3.545710056E0,-3.237530217E0,4.947622826E0
1.074446083E0,4.352620554E-1,4.425493526E0,-3.160176816E0,5.455379319E0
1.084491083E0,6.877845883E-2,4.048424422E0,-3.674347047E0,5.467659188E0
1.094535083E0,2.099969029E-2,2.896651577E0,-4.191640275E0,5.095181993E0
1.104580083E0,-3.022700590E-1,1.760877007E0,-4.482738059E0,4.825660113E0
1.114625083E0,-8.582975829E-1,1.239540283E0,-4.257445425E0,4.516522600E0
1.124669083E0,-1.146063623E0,1.256530976E0,-3.004912775E0,3.452800705E0
1.134714083E0,-1.137872259E0,1.441275070E0,-1.471843875E0,2.353370242E0
1.144758083E0,-1.006497602E0,1.318415275E0,-6.226227786E-1,1.771698446E0
1.154803083E0,-1.313330244E0,1.413378735E0,-5.400786585E-1,2.003537056E0
1.164848083E0,-1.717874537E0,1.762932303E0,-5.017730005E-1,2.512130445E0
1.174892083E0,-1.847709621E0,1.568915548E0,-3.299181066E-1,2.446297774E0
1.184937083E0,-1.437852548E0,9.417221475E-1,2.364625704E-1,1.734985620E0
1.194982083E0,-3.173558754E-1,5.179875854E-1,8.161695635E-1,1.017427465E0
1.205026083E0,1.563379405E0,3.878692031E-1,1.844060520E-1,1.621296788E0
1.215071083E0,3.554325344E0,7.250871930E-1,-1.259096149E0,3.839831142E0
