"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.436717917E-1,3.590379860E0,-1.112724846E0,-1.985584043E0,4.251061999E0
6.537157917E-1,4.066306377E0,-2.259139595E0,-2.939863670E0,5.502849958E0
6.637607917E-1,4.873020701E0,-3.424094695E0,-3.504494787E0,6.910299483E0
6.738047917E-1,5.358954434E0,-3.867133840E0,-3.486560208E0,7.471895265E0
6.838497917E-1,5.852741271E0,-3.902442836E0,-2.783494506E0,7.565149182E0
6.938937917E-1,6.136554594E0,-3.850082482E0,-2.530583718E0,7.673610060E0
7.039387917E-1,6.043538257E0,-3.989667506E0,-2.449660592E0,7.644778511E0
7.139827917E-1,5.889246608E0,-4.401241906E0,-2.390410756E0,7.730990849E0
7.240277917E-1,5.803735757E0,-5.048353263E0,-2.609368517E0,8.122685729E0
7.340717917E-1,6.105066168E0,-5.880261192E0,-2.587297032E0,8.862472033E0
7.441167917E-1,6.045830950E0,-6.157748412E0,-1.960595967E0,8.849512638E0
7.541607917E-1,5.345615766E0,-5.879470063E0,-1.240210227E0,8.042505676E0
7.642057917E-1,5.059713233E0,-5.553319976E0,-3.737967092E-1,7.521953518E0
7.742497917E-1,5.084404855E0,-4.380666724E0,-1.047283101E-1,6.712107098E0
7.842947917E-1,4.646792219E0,-2.635237184E0,-5.289057988E-1,5.368136947E0
7.943387917E-1,4.281360537E0,-1.092530025E0,-7.699028850E-3,4.418566417E0
8.043837917E-1,3.569700305E0,2.432552809E-1,6.539344722E-1,3.637246719E0
8.144277917E-1,2.761857177E0,5.754911506E-1,1.702577051E0,3.295119686E0
8.244727917E-1,2.063989357E0,1.886352700E-1,3.413143737E0,3.993142310E0
8.345167917E-1,1.136773567E0,-7.520735550E-1,4.909980658E0,5.095662748E0
8.445617917E-1,2.088949952E-1,-2.090355622E0,6.063394232E0,6.417006573E0
8.546057917E-1,-1.200600896E0,-3.025099995E0,7.786317254E0,8.439159252E0
8.646507917E-1,-2.759780538E0,-2.297291508E0,7.704497750E0,8.500189555E0
8.746947917E-1,-3.354390914E0,-1.304238701E0,5.287321365E0,6.395994388E0
8.847397917E-1,-3.529484910E0,-6.694684777E-1,3.074119250E0,4.728177338E0
8.947847917E-1,-2.831884601E0,1.075631280E0,7.039679271E-1,3.110003840E0
9.048287917E-1,-9.327353425E-1,3.046875611E0,-1.133502635E0,3.382051808E0
9.148737917E-1,1.034478430E0,4.075094450E0,-2.530194293E0,4.906977028E0
9.249177917E-1,2.002103012E0,4.310273849E0,-3.354364017E0,5.817098510E0
9.349627917E-1,1.684976639E0,4.315416475E0,-2.539165676E0,5.282927972E0
9.450067917E-1,-2.462182843E-1,4.065140442E0,-1.029193570E0,4.200622533E0
