"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.054475000E-2,4.425123104E-1,-4.416518927E-2,-1.465231551E0,1.531231925E0
2.059075001E-2,4.284883484E-1,-3.228616136E-1,-1.521118069E0,1.612960652E0
3.063675002E-2,3.738757197E-1,-5.386873135E-1,-1.755575044E0,1.874035968E0
4.068275000E-2,3.862990795E-1,-4.643344116E-1,-1.756899439E0,1.857829126E0
5.072875001E-2,4.398638141E-1,-4.604018667E-1,-1.621817062E0,1.742337693E0
6.077475002E-2,5.358056594E-1,-6.259400502E-1,-1.231820642E0,1.481982033E0
7.082075000E-2,5.274127123E-1,-6.996825027E-1,-1.151743024E0,1.447146077E0
8.086675001E-2,4.382922287E-1,-7.343348569E-1,-1.109020928E0,1.400455346E0
9.091275002E-2,3.158436392E-1,-7.210207468E-1,-9.857405716E-1,1.261472392E0
1.009587500E-1,5.771229623E-1,-5.163442254E-1,-3.678781575E-1,8.573310980E-1
1.110057500E-1,1.171446240E0,-1.667570356E-1,-2.231712645E-1,1.204117775E0
1.210517500E-1,1.714491630E0,7.673213392E-2,-3.301109916E-1,1.747667771E0
1.310977500E-1,2.240118018E0,-6.134489357E-2,-2.841086072E-1,2.258895666E0
1.411437500E-1,2.629515391E0,-3.873210266E-1,-3.211600739E-1,2.677221052E0
1.511897500E-1,2.623307694E0,-6.381680399E-1,-3.969651318E-1,2.728842799E0
1.612357500E-1,2.014020807E0,-5.105902728E-1,-2.064324403E-1,2.087964700E0
1.712817500E-1,1.142816080E0,1.214592406E-1,-1.269886601E-1,1.156246972E0
1.813277500E-1,1.871824123E0,2.050549825E-1,-5.050690395E-1,1.949581450E0
1.913737500E-1,3.312574552E0,-1.225540733E0,-5.201940322E-1,3.570112334E0
2.014197500E-1,3.329029494E0,-1.127720323E0,-7.915855300E-1,3.602887474E0
2.114657500E-1,3.003287834E0,-2.524143595E-1,-1.453511977E0,3.346064537E0
2.215117500E-1,2.941645609E0,-1.535629396E-1,-1.314689137E0,3.225719764E0
2.315577500E-1,2.895758123E0,-5.301008235E-1,-9.767083776E-1,3.101673942E0
2.416037500E-1,3.068911720E0,-1.086912605E0,-5.487307835E-1,3.301621364E0
2.516497500E-1,2.810386728E0,-4.031449078E-1,5.548580807E-1,2.892864820E0
2.616957500E-1,2.250967526E0,5.800608958E-1,1.463680285E0,2.746941103E0
2.717417500E-1,2.569929340E0,2.603981477E-1,1.226165800E0,2.859340234E0
2.817877500E-1,1.672263623E0,5.792538339E-1,8.536174715E-1,1.964857098E0
2.918337500E-1,9.403366497E-1,1.050091080E0,8.674087143E-1,1.655089777E0
3.018807500E-1,2.285074335E-1,1.272709198E0,1.215613915E0,1.774745486E0
3.119267500E-1,7.271568149E-1,1.342442361E0,1.833215543E0,2.385704876E0
3.219727500E-1,9.950505084E-1,1.534579529E0,1.558548435E0,2.402942585E0
3.320187500E-1,-7.706981063E-2,4.135156172E0,1.640801802E0,4.449459167E0
3.420647500E-1,-2.164398914E0,3.099350570E0,5.657806796E-1,3.822395112E0
3.521107500E-1,-1.416295034E0,-5.343621281E-1,-1.300812525E-1,1.519327364E0
3.621567500E-1,-2.907735559E0,-2.672852907E0,2.256838131E-1,3.956008332E0
3.722035000E-1,-4.752103497E0,-4.452494798E0,1.384967406E0,6.657727261E0
3.822495000E-1,-7.618684598E0,-4.134225880E0,2.131950375E0,8.926443359E0
3.922955000E-1,-7.215362374E0,-1.336466361E0,1.261374224E0,7.445714301E0
4.023415000E-1,-3.796205360E0,-9.892097247E-1,1.043602279E0,4.059410884E0
4.123875000E-1,-3.395759380E0,-1.246487213E0,2.023213214E0,4.144671743E0
4.224335000E-1,-3.406276767E0,-5.844161944E-1,3.071230433E0,4.623496521E0
4.324795000E-1,-3.263493608E0,-1.643187466E-1,3.814408911E0,5.022659308E0
4.425255000E-1,-3.212956123E0,-1.367640352E-1,4.439976786E0,5.482260967E0
4.525715000E-1,-3.034162302E0,-4.780864781E-1,4.707084029E0,5.620618081E0
4.626175000E-1,-2.579241908E0,-4.378374615E-1,4.830946183E0,5.493835772E0
4.726635000E-1,-1.678797594E0,1.787789840E-2,4.812630365E0,5.097067001E0
4.827105000E-1,-4.354363024E-1,9.031910428E-1,4.134256870E0,4.254108450E0
4.927565000E-1,1.290462953E-1,2.146610807E0,2.418345829E0,3.236199538E0
5.028025000E-1,3.726518244E-1,2.876789755E0,-3.748556399E-1,2.924945372E0
5.128485000E-1,1.388454101E0,3.449586217E0,-1.498806263E0,4.009223126E0
5.228945000E-1,1.837457698E0,4.061843197E0,-8.841060233E-1,4.544938329E0
5.329405000E-1,1.792682059E0,3.185285345E0,5.201063240E-1,3.691918510E0
5.429865000E-1,9.057494920E-1,2.627491962E0,1.474649661E0,3.146218011E0
5.530325000E-1,8.838300347E-2,3.472178104E0,4.729812741E-1,3.505359272E0
5.630785000E-1,-4.794015169E-1,2.820561760E0,4.634684755E-1,2.898309418E0
5.731245000E-1,-1.130443956E0,2.549558517E0,8.460277855E-1,2.914432224E0
5.831705000E-1,-8.123431456E-1,4.350913167E0,-3.579943165E0,5.692656659E0
5.932165000E-1,-1.778174533E0,5.248032169E0,-4.702567640E0,7.267591673E0
6.032625000E-1,-9.699361324E-1,2.812296428E0,-9.609138787E-1,3.126202614E0
6.133085000E-1,-1.098778360E0,2.006447054E0,5.172856271E-1,2.345363103E0
6.233545000E-1,-9.690216279E-1,2.702098925E0,9.341476643E-1,3.018770176E0
6.334005000E-1,4.766439700E-1,2.881480976E0,-1.220477263E-1,2.923186231E0
6.434465000E-1,2.532366534E0,2.296950323E0,-2.409805970E0,4.182825105E0
6.534925000E-1,4.322239006E0,1.615745168E0,-4.242533855E0,6.268291313E0
6.635385000E-1,4.399303554E0,9.488035642E-1,-2.269362867E0,5.040248782E0
6.735855000E-1,3.767999561E0,-5.870817938E-1,2.224128807E0,4.414661331E0
6.836315000E-1,4.570506520E0,-2.569696913E0,4.991824136E0,7.239556635E0
6.936775000E-1,5.950600857E0,-3.869835253E0,3.806904595E0,8.054675539E0
7.037235000E-1,7.374500780E0,-3.503201383E0,4.203899547E-2,8.164401323E0
7.137695000E-1,9.600522330E0,-1.810690899E0,-4.830976589E0,1.089894331E1
7.238155000E-1,1.275417833E1,-1.281206518E0,-5.827729222E0,1.408094396E1
7.338615000E-1,1.522616359E1,-1.482540771E0,-1.544312804E0,1.537591906E1
7.439075000E-1,1.538243394E1,1.777465850E-2,3.264137971E0,1.572495426E1
7.539535000E-1,1.696654406E1,-4.539737887E0,3.587926369E0,1.792612767E1
7.639995000E-1,1.701704062E1,-6.239843320E0,3.409640086E0,1.844291087E1
7.740455000E-1,1.382092330E1,-2.826604273E0,1.436022370E0,1.417990737E1
7.840915000E-1,1.196757112E1,-1.142867828E0,-2.124095811E0,1.220822216E1
7.941375000E-1,1.152265648E1,-1.466620849E0,-1.008714720E0,1.165933508E1
8.041835000E-1,9.951130736E0,-1.285836636E0,2.864179065E0,1.043464904E1
8.142295000E-1,6.536727508E0,-1.281802057E0,1.434471688E0,6.813921929E0
8.242755000E-1,3.513091364E0,-1.581971796E0,4.746372056E-1,3.881974520E0
8.343215000E-1,3.240070832E-1,-1.276051613E0,-9.026683018E-2,1.319634953E0
8.443675000E-1,-2.163717129E0,-6.528916213E-1,-1.772944491E-1,2.267018439E0
8.544145000E-1,-2.528834231E0,-2.096085309E0,2.023917950E0,3.858085025E0
8.644605000E-1,-9.800056225E-1,-3.196096554E0,4.395209334E0,5.522074727E0
8.745065000E-1,-3.566377040E0,-3.141811589E0,3.901676266E0,6.149235964E0
8.845525000E-1,-5.744319860E0,-1.935059714E0,2.244577689E0,6.463729245E0
8.945985000E-1,-6.487751815E0,-4.029334140E0,-1.540058370E0,7.790907329E0
9.046445000E-1,-4.781981599E0,-3.797702247E0,-3.599379895E0,7.088400807E0
9.146905000E-1,-4.080684096E0,-1.794709581E0,-7.262771598E0,8.521784816E0
9.247365000E-1,8.080442727E-1,1.810344744E-1,-4.125870209E0,4.208148525E0
