"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.281583345E-3,-2.196976530E0,4.451529130E-1,-2.824056056E0,3.605573407E0
1.832858333E-2,-2.221849123E0,1.819121414E-1,-3.202025338E0,3.901624254E0
2.837458334E-2,-1.712102165E0,1.634785017E-1,-3.454795793E0,3.859226997E0
3.842058335E-2,-1.243998931E0,-2.504444325E-1,-3.184372594E0,3.427897982E0
4.846658334E-2,-1.302836977E0,-4.056678352E-1,-2.666314550E0,2.995193460E0
5.851258335E-2,-1.128159888E0,-2.452483043E-1,-1.712929546E0,2.065676425E0
6.855858336E-2,-1.071228326E0,6.730115980E-2,-9.072709376E-1,1.405418133E0
7.860458334E-2,-1.210990083E0,5.409770831E-1,5.394518369E-1,1.431838493E0
8.865058335E-2,-9.929354974E-1,4.171967903E-1,1.032653952E0,1.492095255E0
9.869758334E-2,-3.762817027E-1,1.288433969E-2,-4.532966226E-1,5.892637390E-1
1.087435833E-1,1.752714586E-1,-3.253542817E-1,-1.823446600E0,1.860519550E0
1.187895834E-1,6.214355745E-1,-3.711765718E-1,-3.085170488E0,3.168947958E0
1.288355833E-1,8.616056451E-1,-2.569865897E-1,-3.408815044E0,3.525397339E0
1.388815833E-1,6.348626089E-1,-9.846740395E-2,-1.044984561E0,1.226678073E0
1.489275833E-1,1.539552878E0,-8.783772138E-1,-2.323601055E0,2.922480360E0
1.589735833E-1,3.589890156E0,-2.430916758E0,-1.602753385E0,4.622281474E0
1.690205833E-1,2.836528167E-1,-2.228177126E0,-3.008269077E0,3.754319521E0
1.790665833E-1,-8.450738708E0,9.263656050E-2,-4.223308210E0,9.447745682E0
1.891125833E-1,-4.985859976E0,1.709697498E0,-9.815639055E-1,5.361467423E0
1.991585833E-1,-2.457844940E-1,-9.204341894E-1,-3.378468579E-1,1.010816311E0
2.092045833E-1,6.313648045E-1,-3.939038220E-1,-1.580560278E0,1.746983838E0
2.192505834E-1,9.542901528E-1,1.271377056E0,-2.545202342E0,3.000853924E0
2.292965833E-1,1.401607413E0,7.383483857E-2,-7.846448851E-1,1.607987101E0
2.393435834E-1,6.186123195E-1,-2.065803748E-1,-1.661462939E-1,6.730239551E-1
2.493895833E-1,1.505947468E-1,2.082807451E-2,-3.073284853E-1,3.428751730E-1
2.594355833E-1,3.721442860E-1,-4.726854050E-1,-6.799089736E-1,9.078541040E-1
2.694815834E-1,7.121066666E-1,-5.986455399E-1,-7.530874622E-1,1.196918173E0
2.795275833E-1,1.062218059E0,4.728058577E-1,-2.686292732E-1,1.193320691E0
2.895735833E-1,3.026916432E-1,1.419945450E0,-8.370546484E-1,1.675866283E0
2.996195834E-1,1.317564797E-1,-5.576463255E-1,-1.901343791E0,1.985809006E0
3.096655833E-1,-4.391329122E-1,-2.822066833E0,-9.315362978E-1,3.004106989E0
3.197125834E-1,-7.994745934E-1,-2.064511952E0,5.058350247E-1,2.270955371E0
3.297585833E-1,-2.048624629E-1,-2.473215077E-1,2.056327166E0,2.081253942E0
3.398045833E-1,-5.486828363E-1,-2.423695739E0,2.401092449E0,3.455517159E0
3.498505834E-1,-3.278354307E0,-5.231287497E0,1.643555841E0,6.388681526E0
3.598965833E-1,-5.114210452E0,-6.147012339E0,2.241029014E0,8.304403669E0
3.699425833E-1,-5.083889131E0,-4.574654535E0,4.797763819E0,8.354156479E0
3.799885833E-1,-3.450869973E0,-2.513855419E0,6.958603533E0,8.163953439E0
3.900355833E-1,-1.862624699E-1,-1.737912652E0,8.028594296E0,8.216651414E0
4.000815834E-1,2.480739713E0,-1.461695740E0,8.753311068E0,9.214720756E0
4.101275833E-1,4.047672470E0,-5.151987559E-1,7.753407370E0,8.761530005E0
4.201735833E-1,4.853418202E0,8.866318743E-1,6.126693850E0,7.866267339E0
4.302195833E-1,5.550895135E0,1.770852357E0,4.735673113E0,7.508325693E0
4.402655833E-1,6.197523512E0,1.817719252E0,3.224794396E0,7.218912650E0
4.503115834E-1,6.165350962E0,2.225898613E0,1.684424955E0,6.767825688E0
4.603585833E-1,6.619755047E0,3.157073406E0,1.429227321E0,7.472011785E0
4.704045833E-1,7.132887982E0,2.766676744E0,2.771779025E-1,7.655678856E0
4.804505833E-1,6.993445922E0,2.219606862E0,-1.852525388E0,7.567482461E0
4.904965833E-1,6.506626627E0,2.530206865E0,-3.382786163E0,7.757665826E0
5.005425834E-1,6.224504319E0,2.940252803E0,-5.155178969E0,8.600314573E0
5.105885833E-1,6.743544111E0,2.992041592E0,-7.329809926E0,1.039970257E1
5.206345833E-1,5.904559881E0,2.685431145E0,-7.210476440E0,9.698780249E0
5.306815833E-1,4.875720652E0,2.775746653E0,-6.911490762E0,8.902029315E0
5.407275833E-1,3.897286761E0,2.351230026E0,-6.245156100E0,7.727813497E0
5.507735834E-1,2.813570829E0,1.648043871E0,-5.124069443E0,6.073575312E0
5.608195833E-1,1.365567514E0,1.082185862E0,-3.227748410E0,3.668004999E0
5.708655833E-1,-2.205546355E-1,1.285662243E0,-1.750819796E0,2.183332707E0
5.809115834E-1,-1.597505509E0,1.238799587E0,-7.250402690E-1,2.147633968E0
5.909575833E-1,-2.909007913E0,1.073138758E0,7.461374617E-1,3.189149565E0
6.010035833E-1,-3.752282245E0,1.516037423E0,2.248513304E0,4.629665603E0
6.110505833E-1,-3.930543970E0,1.937303291E0,3.531423554E0,5.627901230E0
6.210965833E-1,-3.543991560E0,2.187372770E0,4.385184575E0,6.047670590E0
6.311425834E-1,-2.740906311E0,2.386016427E0,4.771011930E0,5.997349134E0
6.411885833E-1,-1.105851737E0,2.878376982E0,3.525443022E0,4.683664230E0
6.512345833E-1,1.394585491E0,2.812335312E0,-7.648301330E-1,3.230953998E0
6.612805834E-1,9.879081345E-1,1.805674573E0,-1.926097394E0,2.818913677E0
6.713265833E-1,-9.114709926E-1,1.017974737E0,-1.660651053E0,2.150538038E0
6.813735834E-1,-3.250794041E0,1.429011266E-1,-1.146769967E0,3.450096228E0
6.914195833E-1,-5.084180322E0,-1.003164178E0,-1.789809322E-1,5.185292865E0
7.014655833E-1,-5.149281467E0,-6.026842848E-1,6.759534784E-1,5.228311494E0
7.115115833E-1,-4.674633737E0,-1.175676920E0,7.202353196E-1,4.873720930E0
7.215575833E-1,-4.915488151E0,-1.988899122E0,1.620614290E-2,5.302641428E0
7.316035834E-1,-5.236978008E0,-1.436354199E0,-6.276695104E-1,5.466536477E0
7.416495833E-1,-4.160830126E0,-6.377825622E-1,7.582891452E-1,4.277180890E0
7.516965833E-1,-2.952499503E0,-4.786903493E-2,1.832963089E0,3.475528514E0
7.617425833E-1,-7.829059231E-1,1.048533090E0,2.759985191E0,3.054485485E0
7.717885833E-1,2.331345692E0,2.537418528E0,2.860213484E0,4.478223609E0
7.818345834E-1,4.175477986E0,4.025268571E0,2.461047460E0,6.300329998E0
7.918805833E-1,5.901778361E0,1.767817944E0,2.931181140E0,6.822608810E0
8.019265833E-1,8.472329552E0,-1.043660239E0,3.808150344E0,9.347277880E0
8.119735833E-1,8.560623093E0,3.255631734E-1,4.808785236E0,9.824188239E0
8.220195833E-1,8.464936332E0,1.452776105E0,5.540060245E0,1.022046834E1
8.320655834E-1,8.465400016E0,5.626533694E-1,5.386617612E0,1.004963808E1
8.421115833E-1,7.756995807E0,-7.885938022E-1,3.961990296E0,8.745869381E0
8.521575833E-1,6.879294823E0,-6.426148474E-1,1.710629836E0,7.117858213E0
8.622032084E-1,5.375038955E0,4.348161321E-1,-5.064904976E0,7.398200542E0
8.722492083E-1,3.464470596E0,8.781599897E-1,-2.263090676E1,2.291138717E1
8.822962084E-1,9.260914291E0,2.870568464E-1,-4.730759990E0,1.040322187E1
8.923422083E-1,1.166899709E1,7.220239829E-1,3.693378564E0,1.226082611E1
9.023882083E-1,1.073710879E1,-4.169374663E-1,-3.513036400E0,1.130490012E1
9.124342084E-1,1.078807780E1,6.536125830E-1,3.615596563E-2,1.080792021E1
9.224802083E-1,1.161708200E1,-6.308122426E-1,2.517343867E0,1.190342549E1
9.325262083E-1,1.206224924E1,-2.108541194E0,2.651976593E0,1.252903757E1
9.425722084E-1,1.174980210E1,-2.406005280E0,1.812141301E0,1.212973894E1
9.526192083E-1,1.137972013E1,-2.736872901E0,1.950383366E0,1.186560149E1
9.626652084E-1,1.026393806E1,-2.710698425E0,1.368508079E0,1.070369678E1
9.727112083E-1,7.981098533E0,-2.681806456E0,2.773300762E-1,8.424187298E0
9.827572083E-1,4.618238511E0,-1.994707161E0,8.172182617E-1,5.096550725E0
9.928032084E-1,1.438851838E0,-1.166699617E0,1.421558697E0,2.335018573E0
1.002849208E0,-1.389690787E0,-1.533671748E0,2.407021672E0,3.174451582E0
1.012896208E0,-3.749150476E0,-1.566955562E0,3.947642398E0,5.665276651E0
1.022942208E0,-5.549737971E0,-1.630795170E0,5.129302701E0,7.731030373E0
1.032988208E0,-6.348069434E0,-2.262768085E0,6.825838408E0,9.592193437E0
1.043034208E0,-6.950709207E0,-2.832453827E0,8.298730981E0,1.118946331E1
1.053080208E0,-6.719876336E0,-3.155407242E0,9.362550008E0,1.194866836E1
1.063126208E0,-6.175950209E0,-3.101560818E0,8.828267695E0,1.121161679E1
1.073172208E0,-5.907639610E0,-3.089933922E0,2.322815773E0,7.059983748E0
1.083219208E0,-3.949534557E0,-8.078606701E-1,-8.510192027E0,9.416731408E0
1.093265208E0,-5.604656190E0,2.639426129E0,-2.791094951E1,2.859020538E1
1.103311208E0,2.477165310E0,-2.790928656E-1,-9.316883254E0,9.644612712E0
1.113357208E0,-1.913618267E-2,-1.076306048E0,-1.858983053E0,2.148166403E0
1.123403208E0,-5.872422414E0,6.356224546E-1,-4.758218515E-1,5.925855833E0
1.133449208E0,-9.596307657E0,4.961051409E0,-1.040382802E0,1.085281291E1
