"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.641554920E-1,-2.741536498E-1,3.992504478E-1,8.353748322E-1,9.656149615E-1
3.691498670E-1,-1.880222261E-1,2.700986266E-1,7.826070786E-1,8.489873173E-1
3.741442420E-1,-1.348441839E-1,1.793789268E-1,6.412715912E-1,6.794034199E-1
3.791386170E-1,-8.134150505E-2,1.129404306E-1,3.227977753E-1,3.515257957E-1
3.841329920E-1,-5.089455843E-2,6.154626608E-2,1.839542389E-2,8.195480807E-2
3.891273670E-1,2.317386866E-2,-2.673369646E-2,-1.446542740E-1,1.489180234E-1
3.941217420E-1,9.342283010E-2,-1.371114254E-1,-1.824207306E-1,2.465860724E-1
3.991161170E-1,1.130697727E-1,-2.176000625E-1,-2.713718414E-1,3.657557067E-1
4.041104920E-1,1.072165966E-1,-3.162322938E-1,-3.919839859E-1,5.149268953E-1
4.091048670E-1,8.208465576E-2,-4.240333140E-1,-4.966840744E-1,6.582075750E-1
4.140992420E-1,1.007008553E-1,-5.936515927E-1,-5.385351181E-1,8.078260637E-1
4.190936170E-1,1.966878176E-1,-7.636125684E-1,-4.333133698E-1,8.997503701E-1
4.240879920E-1,3.412245512E-1,-9.489427209E-1,-1.875715256E-1,1.025723920E0
4.290823670E-1,4.579200745E-1,-1.055588841E0,1.592245102E-1,1.161598485E0
4.340767420E-1,5.415722132E-1,-1.047376990E0,4.688377380E-1,1.268900251E0
4.390711170E-1,4.640259743E-1,-9.124435186E-1,6.945095062E-1,1.237019294E0
4.440654920E-1,2.692272663E-1,-7.241145372E-1,7.709836960E-1,1.091439895E0
4.490598670E-1,9.091103077E-2,-5.407501459E-1,8.324060440E-1,9.967825028E-1
4.540542420E-1,1.382350922E-2,-3.867667317E-1,9.687957764E-1,1.043237677E0
4.590486170E-1,-4.411458969E-2,-2.674354911E-1,1.169776917E0,1.200768868E0
4.640429920E-1,-6.965506077E-2,-1.548766494E-1,1.344644547E0,1.355325629E0
4.690373670E-1,-1.300386190E-1,-6.878787279E-2,1.417857170E0,1.425468614E0
4.740317420E-1,-1.399538517E-1,-3.807550669E-2,1.414087296E0,1.421506139E0
4.790261170E-1,-9.057843685E-2,-6.269913912E-2,1.371920586E0,1.376336343E0
4.840204920E-1,-6.298005581E-2,-9.992223978E-2,1.258449554E0,1.263980309E0
4.890148670E-1,-7.537066936E-2,-1.260525584E-1,1.093202591E0,1.103023975E0
4.940092420E-1,-1.971504688E-1,-2.312839627E-1,7.722234726E-1,8.298732857E-1
4.990036170E-1,-3.581485748E-1,-4.192779660E-1,3.772935867E-1,6.681428478E-1
5.039979920E-1,-2.706637383E-1,-6.460606456E-1,4.538793564E-1,8.346614207E-1
5.089923670E-1,-1.402589679E-1,-7.166592479E-1,8.645734787E-1,1.131706833E0
5.139867420E-1,-2.203366160E-1,-5.328604579E-1,1.141937256E0,1.279261188E0
5.189811170E-1,-5.153959990E-1,-1.823565960E-1,1.259295464E0,1.372848145E0
5.239754920E-1,-7.451840639E-1,2.242499590E-1,1.455675125E0,1.650629396E0
5.289698670E-1,-8.503346443E-1,5.017715693E-1,1.673810005E0,1.943317691E0
5.339642420E-1,-8.100758195E-1,6.185069680E-1,1.747879028E0,2.023327655E0
5.389586170E-1,-6.084147096E-1,6.760650873E-1,1.641602516E0,1.876723550E0
5.439529920E-1,-3.474573791E-1,7.325505018E-1,1.432737350E0,1.646236066E0
5.489473670E-1,-1.373085678E-1,7.411849499E-1,1.202963829E0,1.419623452E0
5.539417420E-1,9.847545624E-2,8.266172409E-1,9.667568207E-1,1.275779067E0
5.589361170E-1,2.557232380E-1,8.184347153E-1,6.815071106E-1,1.095299822E0
5.639304920E-1,3.356891870E-1,7.663474083E-1,4.236078262E-1,9.377735179E-1
5.689248670E-1,3.584313989E-1,7.388119102E-1,1.311445236E-1,8.315738045E-1
5.739192420E-1,2.724750638E-1,7.277088165E-1,-1.291408539E-1,7.877056190E-1
5.789136170E-1,1.260782033E-1,7.153493166E-1,-3.338346481E-1,7.994159933E-1
5.839079920E-1,-7.581335306E-2,7.268608212E-1,-5.404338837E-1,9.089241446E-1
5.889023670E-1,-2.906548977E-1,8.057688475E-1,-6.920576096E-1,1.101220886E0
5.938967420E-1,-5.381958485E-1,9.521809816E-1,-6.658754349E-1,1.280505169E0
5.988911170E-1,-8.146497011E-1,1.161024213E0,-5.205068588E-1,1.510813936E0
6.038854920E-1,-1.073533773E0,1.379147172E0,-5.039892197E-1,1.818935628E0
6.088798670E-1,-1.344364762E0,1.601104021E0,-5.156936646E-1,2.153320844E0
6.138742420E-1,-1.570524096E0,1.759482861E0,-5.745306015E-1,2.427428946E0
6.188686170E-1,-1.695118904E0,1.830091000E0,-7.134571075E-1,2.594548556E0
6.238629920E-1,-1.732679844E0,1.779574633E0,-8.369140625E-1,2.620971282E0
6.288573670E-1,-1.716442943E0,1.617673993E0,-8.928270340E-1,2.521940847E0
6.338517420E-1,-1.627585649E0,1.420808554E0,-8.770418167E-1,2.331723470E0
6.388461170E-1,-1.452374816E0,1.217554927E0,-8.756904602E-1,2.087741935E0
6.438404920E-1,-1.272330761E0,1.060084105E0,-8.364706039E-1,1.855340116E0
6.488348670E-1,-1.144522548E0,9.481123090E-1,-7.739925385E-1,1.675682924E0
6.538292420E-1,-1.073378444E0,9.146125317E-1,-6.694898605E-1,1.561049019E0
6.588236170E-1,-1.001483560E0,9.637470245E-1,-4.900674820E-1,1.473751602E0
6.638179920E-1,-8.909246922E-1,1.104192972E0,-2.743415833E-1,1.445078625E0
6.688123670E-1,-7.753541470E-1,1.263458490E0,-7.487010956E-2,1.484286678E0
6.738067420E-1,-6.832585335E-1,1.355260372E0,4.670429230E-2,1.518471004E0
6.788011170E-1,-6.235932112E-1,1.355636001E0,1.022815704E-2,1.492220518E0
6.837954920E-1,-6.093838215E-1,1.255202770E0,-1.639966965E-1,1.404911938E0
6.887898670E-1,-6.105784178E-1,1.125666738E0,-3.179788589E-1,1.319485568E0
6.937842420E-1,-5.879997015E-1,1.047814965E0,-2.663755417E-1,1.230697274E0
6.987786170E-1,-5.463638306E-1,9.875235558E-1,-1.484851837E-1,1.138316326E0
7.037729920E-1,-5.434190035E-1,1.020058870E0,1.255016327E-1,1.162572566E0
7.087673670E-1,-5.895369053E-1,9.774490595E-1,2.216119766E-1,1.162786436E0
7.137617420E-1,-5.467063189E-1,8.545546532E-1,3.180122375E-2,1.014969345E0
7.187561170E-1,-4.243267775E-1,7.319706678E-1,-7.567977905E-2,8.494478805E-1
7.237504920E-1,-2.458688021E-1,6.663994789E-1,3.187274933E-2,7.110243354E-1
7.287448670E-1,-6.863224506E-2,6.480763555E-1,3.958215714E-1,7.624880746E-1
7.337392420E-1,2.091205120E-2,6.674485207E-1,7.765846252E-1,1.024211171E0
7.387336170E-1,2.210748196E-2,7.625645399E-1,9.789867401E-1,1.241131925E0
7.437279920E-1,-8.298754692E-3,8.902195096E-1,9.281158447E-1,1.286063243E0
7.487223670E-1,9.864568710E-4,1.007335424E0,7.446346283E-1,1.252679672E0
7.537167420E-1,1.195013523E-2,1.094829082E0,6.055383682E-1,1.251187532E0
7.587111170E-1,4.421555996E-2,1.048383236E0,4.583730698E-1,1.145062573E0
7.637054920E-1,1.081440449E-1,8.691359162E-1,3.414459229E-1,9.400413255E-1
7.686998670E-1,2.185297012E-1,6.676654220E-1,3.165493011E-1,7.705425401E-1
7.736942420E-1,2.995109558E-1,5.064402819E-1,2.547521591E-1,6.411608490E-1
7.786886170E-1,3.615518212E-1,4.142229557E-1,3.273391724E-2,5.507920531E-1
7.836829920E-1,3.915796876E-1,3.626838923E-1,-2.531986237E-1,5.907485086E-1
7.886773670E-1,4.001898170E-1,3.522393703E-1,-4.788703918E-1,7.166179706E-1
7.936717420E-1,3.594228625E-1,3.549594879E-1,-6.351861954E-1,8.115679485E-1
7.986661170E-1,1.931785345E-1,4.814752340E-1,-7.227945328E-1,8.897012329E-1
8.036604920E-1,-1.185150146E-1,8.197064400E-1,-9.664745331E-1,1.272806929E0
8.086548670E-1,-5.156782866E-1,1.058969498E0,-1.271319389E0,1.733087846E0
8.136492420E-1,-9.328757524E-1,1.159770012E0,-1.547443390E0,2.147068861E0
8.186436170E-1,-1.165903568E0,1.271379828E0,-1.923988342E0,2.584079902E0
8.236379920E-1,-1.182111979E0,1.170298219E0,-2.276819706E0,2.819733077E0
8.286323670E-1,-1.062415242E0,8.431038857E-1,-2.368071079E0,2.728976172E0
8.336267420E-1,-8.822475672E-1,4.569059610E-1,-2.237183094E0,2.447879087E0
8.386211170E-1,-6.405601501E-1,7.752978802E-2,-1.927997589E0,2.033101787E0
8.436154920E-1,-3.746591806E-1,-2.012814283E-1,-1.455463409E0,1.516330258E0
8.486098670E-1,-1.602952480E-1,-3.626939058E-1,-8.915424347E-1,9.757506591E-1
8.536042420E-1,-3.516900539E-2,-4.042438269E-1,-2.506923676E-1,4.769660299E-1
8.585985650E-1,2.012014389E-2,-3.571603298E-1,3.670921326E-1,5.125670251E-1
8.635928880E-1,4.864048958E-2,-2.764397860E-1,8.576641083E-1,9.024259389E-1
8.685872110E-1,9.348630905E-2,-2.118061781E-1,1.184103966E0,1.206525486E0
8.735815340E-1,1.737359762E-1,-1.506879330E-1,1.495326042E0,1.512908132E0
8.785758560E-1,2.938290834E-1,-1.708842516E-1,1.725085258E0,1.758253709E0
8.835701790E-1,4.248236418E-1,-1.875686646E-1,1.816962242E0,1.875369009E0
8.885645020E-1,4.044202566E-1,-2.398347855E-1,1.829032898E0,1.888501472E0
8.935588250E-1,3.952088952E-1,-3.709321022E-1,1.733303070E0,1.816072749E0
8.985531480E-1,3.492696285E-1,-4.375408888E-1,1.654174805E0,1.746346354E0
9.035474710E-1,1.855453253E-1,-5.396806002E-1,1.496270180E0,1.601407715E0
9.085417940E-1,1.234645844E-1,-5.954885483E-1,1.312293053E0,1.446362047E0
9.135361170E-1,5.720257759E-2,-5.044746399E-1,1.173661232E0,1.278767956E0
9.185304400E-1,-8.563899994E-2,-3.808819056E-1,1.051310539E0,1.121453929E0
9.235247630E-1,-2.198709249E-1,-3.001782894E-1,8.734655380E-1,9.494168079E-1
9.285190860E-1,-3.274683952E-1,-3.135290146E-1,6.639385223E-1,8.039591745E-1
9.335134090E-1,-5.138127804E-1,-1.574609280E-1,4.797821045E-1,7.204084848E-1
9.385077310E-1,-1.107553601E0,4.966528416E-1,5.063419342E-1,1.315188648E0
9.435020540E-1,-1.302635074E0,1.819276810E-2,6.945495605E-1,1.476342848E0
9.484963770E-1,-7.878264189E-1,-5.572426319E-1,7.145538330E-1,1.200740187E0
9.534907000E-1,-4.871498346E-1,-7.709404230E-1,6.001634598E-1,1.091723534E0
9.584850230E-1,-1.308777094E0,-5.285763741E-2,2.710542679E-1,1.337595540E0
9.634793460E-1,-1.768523693E0,-4.846158028E-1,1.287031174E-1,1.838230949E0
9.684736690E-1,-1.523984313E0,-6.884700060E-1,7.704734802E-2,1.674053592E0
9.734679920E-1,-1.464393973E0,-9.275321960E-1,6.800079346E-2,1.734759289E0
9.784623150E-1,-1.374096036E0,-1.011052728E0,-8.918476105E-2,1.708309532E0
9.834566380E-1,-1.366984367E0,-1.135207295E0,-2.412290573E-1,1.793190821E0
9.884509610E-1,-1.327365637E0,-1.214179754E0,-3.832550049E-1,1.839297803E0
9.934452840E-1,-1.287672520E0,-1.286430836E0,-5.104017258E-1,1.890374231E0
9.984396060E-1,-1.165939569E0,-1.299740791E0,-5.987901688E-1,1.845884848E0
1.003433981E0,-1.042740107E0,-1.292742610E0,-6.484766006E-1,1.782978488E0
1.008428356E0,-7.364116907E-1,-1.489699006E0,-6.928901672E-1,1.800444970E0
1.013422731E0,-4.570553303E-1,-1.570496917E0,-7.891750336E-1,1.816082976E0
1.018417106E0,-4.516724348E-1,-1.402392149E0,-8.988924026E-1,1.725896660E0
1.023411481E0,-5.990449190E-1,-1.062956691E0,-9.361190796E-1,1.537872125E0
1.028405856E0,-8.027880192E-1,-7.246565819E-1,-9.440441132E-1,1.435553919E0
1.033400231E0,-9.435527325E-1,-4.732255936E-1,-9.275999069E-1,1.405231585E0
1.038394606E0,-9.840568304E-1,-3.319349289E-1,-9.060659409E-1,1.378224993E0
1.043388981E0,-9.876877069E-1,-2.809097767E-1,-8.558473587E-1,1.336754282E0
1.048383356E0,-1.017649531E0,-1.860060692E-1,-8.154277802E-1,1.317243824E0
1.053377731E0,-1.098730803E0,-1.853864193E-1,-8.707551956E-1,1.414140061E0
1.058372106E0,-1.098020792E0,-2.164502144E-1,-9.310035706E-1,1.455770587E0
1.063366481E0,-1.078485250E0,-2.645390034E-1,-1.015384674E0,1.504698427E0
1.068360856E0,-1.107319951E0,-2.532145977E-1,-1.109599113E0,1.587918543E0
1.073355231E0,-1.146328330E0,-2.541399002E-1,-1.189850807E0,1.671646097E0
1.078349606E0,-1.148043156E0,-2.337064743E-1,-1.222970963E0,1.693599651E0
1.083343981E0,-1.151052356E0,-1.585593224E-1,-1.256932259E0,1.711707127E0
1.088338356E0,-1.193719506E0,-1.240987778E-1,-1.287081718E0,1.759814228E0
1.093332731E0,-1.166411400E0,-7.747936249E-2,-1.270669937E0,1.726592220E0
1.098327106E0,-1.098346114E0,-5.198144913E-2,-1.174654007E0,1.608999159E0
1.103321481E0,-1.013878822E0,-4.253149033E-2,-1.051961899E0,1.461637106E0
1.108315856E0,-8.895360231E-1,-1.227140427E-3,-8.980503082E-1,1.264029350E0
1.113310231E0,-7.541873455E-1,2.419185638E-2,-7.702999115E-1,1.078306891E0
1.118304606E0,-5.836914778E-1,3.369474411E-2,-6.398973465E-1,8.667754560E-1
1.123298981E0,-4.015568495E-1,-6.269931793E-3,-4.971504211E-1,6.390976112E-1
1.128293356E0,-2.216168642E-1,-4.810595512E-2,-3.752880096E-1,4.384852422E-1
1.133287731E0,-6.692385674E-2,-9.226107597E-2,-2.548675537E-1,2.791923686E-1
1.138282106E0,5.863642693E-2,-1.105821133E-1,-1.308355331E-1,1.810651017E-1
1.143276481E0,1.941269636E-1,-1.227717400E-1,-3.628158569E-2,2.325393119E-1
1.148270856E0,3.068486452E-1,-1.341915131E-1,5.385398865E-3,3.349514230E-1
1.153265231E0,3.690101504E-1,-1.024131775E-1,-2.918720245E-2,3.840687996E-1
1.158259606E0,4.053426981E-1,-9.490919113E-2,-4.405307770E-2,4.186300648E-1
1.163253981E0,4.069343805E-1,-7.381868362E-2,-4.864978790E-2,4.164271725E-1
1.168248356E0,3.694265485E-1,-6.349039078E-2,-1.095886230E-1,3.905338279E-1
1.173242731E0,2.692700624E-1,-4.035425186E-2,-2.694177628E-1,3.830414639E-1
1.178237106E0,9.733265638E-2,1.911306381E-2,-5.037736893E-1,5.134460879E-1
1.183231481E0,-7.460033894E-2,3.833770752E-2,-7.407798767E-1,7.455131227E-1
1.188225856E0,-1.610077620E-1,6.994962692E-2,-9.423151016E-1,9.585270995E-1
1.193220231E0,-2.391856909E-1,-9.911537170E-3,-1.151566505E0,1.176185976E0
1.198214606E0,-3.052507639E-1,-8.130168915E-2,-1.349614143E0,1.386090304E0
1.203208981E0,-4.173334837E-1,-1.056299210E-1,-1.508162498E0,1.568400153E0
1.208203356E0,-4.617565870E-1,-9.706330299E-2,-1.618074417E0,1.685468852E0
1.213197731E0,-9.643542767E-2,4.479837418E-2,-1.622592926E0,1.626073335E0
