"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.896329169E-2,3.904346690E-1,5.894212648E-1,-4.376208222E-1,8.314858040E-1
2.901029168E-2,3.850830048E-1,5.045512685E-1,-4.046869648E-1,7.527499204E-1
3.905729167E-2,3.018277171E-1,3.325039646E-1,-2.811569327E-1,5.298189107E-1
4.910429168E-2,1.906680545E-1,1.903046501E-1,-1.761327535E-1,3.218585306E-1
5.915129167E-2,7.786678612E-2,5.854612380E-2,-2.661406982E-1,2.834109317E-1
6.919829169E-2,-4.894382626E-2,8.566960305E-2,-1.916132569E-1,2.155235932E-1
7.924529168E-2,-7.608630896E-2,1.231131256E-2,-7.836847723E-2,1.099195754E-1
8.929229167E-2,-3.032190621E-2,-1.002771172E-1,8.771992922E-3,1.051278559E-1
9.933929169E-2,6.940644979E-3,-1.271178836E-1,1.233014059E-1,1.772296972E-1
1.093862917E-1,9.927344263E-2,-1.495863944E-1,2.088157654E-1,2.753821521E-1
1.194332917E-1,8.743107677E-2,-1.381945565E-1,1.851170003E-2,1.645740310E-1
1.294802917E-1,-1.133307338E-2,-4.364127874E-2,-2.055822551E-1,2.104686755E-1
1.395272917E-1,-4.001922101E-2,9.167615533E-2,-2.524506122E-1,2.715462522E-1
1.495742917E-1,-4.652687967E-2,1.564656436E-1,-1.672239357E-1,2.336880246E-1
1.596212917E-1,-3.812209189E-2,1.492086643E-1,-1.144533992E-2,1.544264071E-1
1.696682917E-1,6.235353827E-2,1.232666150E-1,9.132649183E-2,1.655993666E-1
1.797152917E-1,1.564317298E-1,1.941579652E-1,9.415303588E-2,2.665201600E-1
1.897622917E-1,1.319000289E-1,3.303907809E-1,-9.878636956E-2,3.692078446E-1
1.998092917E-1,-5.973515511E-3,4.854902226E-1,-2.539878452E-1,5.479473192E-1
2.098562917E-1,-3.749643981E-2,5.398041317E-1,-4.379283857E-1,6.961147568E-1
2.199032917E-1,-2.360901028E-2,5.525876069E-1,-4.804522616E-1,7.326287084E-1
2.299502917E-1,-1.806906581E-2,4.637669393E-1,-3.276306027E-1,5.681092122E-1
2.399972917E-1,1.136558390E-1,2.283016115E-1,-2.515074563E-1,3.581832996E-1
2.500442917E-1,3.911553383E-1,-3.425678998E-2,-5.238274920E-1,6.546535478E-1
2.600912917E-1,4.726514912E-1,-1.939407411E-1,-5.311955684E-1,7.370082599E-1
2.701382917E-1,6.802253079E-1,-3.879721141E-1,-3.294946951E-1,8.495855372E-1
2.801864167E-1,7.736082655E-1,-5.356759974E-1,-1.872535729E-1,9.594177522E-1
2.902334167E-1,6.738366401E-1,-6.023611531E-1,-9.247079194E-2,9.085403809E-1
3.002804167E-1,4.866432935E-1,-6.928093931E-1,1.105591536E-2,8.467164718E-1
3.103274167E-1,3.634442139E-1,-8.382492346E-1,-6.363758683E-2,9.158620083E-1
3.203744167E-1,2.945412093E-1,-9.736342040E-1,-1.550319064E-1,1.028957229E0
3.304214167E-1,2.200114292E-1,-1.122770070E0,-3.574917483E-1,1.198673438E0
3.404684167E-1,1.571532762E-1,-1.253230222E0,-5.488196611E-1,1.377129683E0
3.505154167E-1,2.073071837E-1,-1.335978849E0,-7.872094738E-1,1.564453422E0
3.605624167E-1,4.725339621E-1,-1.366696612E0,-9.568933332E-1,1.734010618E0
3.706094167E-1,7.664331472E-1,-1.386868336E0,-1.280654833E0,2.037375850E0
3.806564167E-1,8.065035313E-1,-1.293683892E0,-1.833129004E0,2.384203830E0
3.907034167E-1,6.052447075E-1,-1.086336947E0,-2.355154969E0,2.663306976E0
4.007504167E-1,3.022226965E-1,-8.756170356E-1,-2.681757631E0,2.837228885E0
4.107974167E-1,-1.400115788E-2,-7.110021275E-1,-2.844490905E0,2.932038296E0
4.208444167E-1,-2.283021963E-1,-6.837523484E-1,-2.853028425E0,2.942687608E0
4.308914167E-1,-3.142387247E-1,-6.820519781E-1,-2.724283261E0,2.825891039E0
4.409384167E-1,-3.615122938E-1,-5.508159006E-1,-2.575897885E0,2.658822899E0
4.509854167E-1,-3.604890311E-1,-5.329441783E-1,-2.261932810E0,2.351663640E0
4.610324167E-1,-2.355849034E-1,-7.303803849E-1,-1.864982296E0,2.016708883E0
4.710794167E-1,-2.201769054E-1,-7.854406911E-1,-1.535744294E0,1.738938034E0
4.811264167E-1,-3.334520906E-1,-6.707019478E-1,-1.124372208E0,1.351016010E0
4.911734167E-1,-3.752567589E-1,-5.963277036E-1,-6.935318166E-1,9.886408579E-1
5.012204167E-1,-4.082110816E-1,-5.490716761E-1,-2.281355506E-1,7.212224498E-1
5.112674167E-1,-3.431684089E-1,-5.435270539E-1,1.387246066E-1,6.575946560E-1
5.213144167E-1,-1.817589444E-1,-5.655475219E-1,4.514190817E-1,7.460961739E-1
5.313614167E-1,3.146562159E-2,-5.857914595E-1,7.157412958E-1,9.254335859E-1
5.414084167E-1,2.623481941E-1,-6.085444374E-1,9.300639689E-1,1.142003456E0
5.514554167E-1,3.464539593E-1,-5.307122961E-1,1.035743621E0,1.214269631E0
5.615024167E-1,4.141512680E-1,-4.201595744E-1,1.085727375E0,1.235661472E0
5.715494167E-1,5.124914950E-1,-3.941599301E-1,1.068455869E0,1.248842475E0
5.815964167E-1,5.306342357E-1,-3.487052836E-1,1.022268713E0,1.203412393E0
5.916434167E-1,4.199487823E-1,-3.693767989E-1,7.841654134E-1,9.631778625E-1
6.016904167E-1,2.943488359E-1,-4.788334599E-1,5.800274205E-1,8.076846712E-1
6.117374167E-1,1.716111016E-1,-6.575968757E-1,4.118147206E-1,7.946542552E-1
6.217844167E-1,4.313841820E-2,-8.265875477E-1,1.110316086E-1,8.351262870E-1
6.318314167E-1,-2.206230479E-1,-9.795778987E-1,-2.142560148E-1,1.026719547E0
6.418784167E-1,-5.099970728E-1,-1.199067464E0,-5.094380790E-1,1.399066458E0
6.519254167E-1,-8.441555071E-1,-1.522768153E0,-7.588066238E-1,1.899265347E0
6.619724167E-1,-1.302797654E0,-1.950226514E0,-1.029546157E0,2.561372772E0
6.720194167E-1,-1.588454604E0,-2.412688648E0,-1.127511578E0,3.100892919E0
6.820664167E-1,-1.840532164E0,-2.821836161E0,-1.240318693E0,3.590084738E0
6.921134167E-1,-2.237741709E0,-3.017542176E0,-1.462096274E0,4.031224908E0
7.021604167E-1,-2.424696490E0,-3.065076824E0,-1.745611389E0,4.280304676E0
7.122074167E-1,-2.596327472E0,-2.951894317E0,-1.873383283E0,4.354786025E0
7.222554167E-1,-2.567722308E0,-2.941071413E0,-1.648418385E0,4.237969099E0
7.323024167E-1,-2.309742569E0,-2.789618880E0,-1.434094543E0,3.895319163E0
7.423494167E-1,-1.771690555E0,-3.587798315E0,-1.360840040E0,4.226472499E0
7.523964167E-1,-2.629970596E0,-4.615506984E0,-5.615432024E-2,5.312513846E0
7.624434167E-1,-3.139413353E0,-3.812204804E0,3.611849959E-1,4.951694283E0
7.724904167E-1,-2.712663090E0,-4.352260658E0,5.816651891E-1,5.161302962E0
7.825374167E-1,-2.342285832E0,-4.381888500E0,1.151458265E0,5.100304489E0
7.925844167E-1,-2.150290167E0,-4.851369923E0,1.406693906E0,5.489838402E0
8.026314167E-1,-1.994327969E0,-4.399496512E0,1.727210201E0,5.129928722E0
8.126784167E-1,-1.204373812E0,-3.317264311E0,1.246317644E0,3.742735157E0
8.227254167E-1,6.498478532E-2,-2.597762671E0,9.618985498E-1,2.770892047E0
8.327724167E-1,1.497352645E0,-2.010391147E0,1.035824897E0,2.712318331E0
8.428194167E-1,2.804324042E0,-1.569084825E0,1.264015996E0,3.453114096E0
8.528664167E-1,3.979792144E0,-1.141292003E0,1.577585800E0,4.430583472E0
8.629134167E-1,4.694551692E0,-6.897416514E-1,1.799182701E0,5.074605160E0
8.729604167E-1,5.158107255E0,-1.162015705E-1,2.047420687E0,5.550811177E0
8.830074167E-1,5.730059085E0,6.286348857E-1,2.263810936E0,6.193028249E0
8.930544167E-1,6.048424775E0,1.544458399E0,2.146219921E0,6.601140353E0
