"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.725532290E-1,6.039998531E-1,8.765082359E-1,-1.981196404E0,2.249049066E0
3.775477080E-1,4.773578644E-1,8.622748852E-1,-2.472729683E0,2.661912957E0
3.825421870E-1,1.777682304E-1,7.752013206E-1,-3.000638962E0,3.104250765E0
3.875366660E-1,-5.001664162E-2,6.740787029E-1,-3.503903866E0,3.568504738E0
3.925311450E-1,-1.346220970E-1,4.514832497E-1,-3.823055744E0,3.851975527E0
3.975256240E-1,-1.009402275E-1,1.905798912E-1,-3.894917488E0,3.900883472E0
4.025201040E-1,-8.783745766E-2,-2.671623230E-2,-3.883564949E0,3.884650034E0
4.075145830E-1,-2.281610966E-1,-2.045456171E-1,-3.903515816E0,3.915524501E0
4.125090620E-1,-4.403665066E-1,-3.849376440E-1,-3.888119698E0,3.931866533E0
4.175035410E-1,-6.959943771E-1,-5.385736227E-1,-3.832918167E0,3.932649412E0
4.224980200E-1,-9.572825432E-1,-6.462581158E-1,-3.771271706E0,3.944176682E0
4.274924990E-1,-1.215312243E0,-7.080603838E-1,-3.561008453E0,3.828722314E0
4.324869790E-1,-1.456459522E0,-6.723728180E-1,-3.364284039E0,3.727166033E0
4.374814580E-1,-1.629380465E0,-5.074051619E-1,-3.204038143E0,3.630179213E0
4.424759370E-1,-1.668869019E0,-2.910987139E-1,-3.050870419E0,3.489652214E0
4.474704160E-1,-1.581534624E0,-1.620399952E-1,-2.785740852E0,3.207469536E0
4.524648950E-1,-1.440721273E0,1.638393402E-1,-2.565252304E0,2.946699934E0
4.574593740E-1,-1.427441359E0,5.364826918E-1,-2.544422150E0,2.966392858E0
4.624538540E-1,-1.445204735E0,8.501312137E-1,-2.592883110E0,3.087779563E0
4.674483330E-1,-1.379029036E0,1.104254246E0,-2.629353523E0,3.167743435E0
4.724428120E-1,-1.223812103E0,1.288717985E0,-2.625687599E0,3.170606484E0
4.774372910E-1,-1.003112555E0,1.379297495E0,-2.558770180E0,3.075061172E0
4.824317700E-1,-8.303360939E-1,1.437299609E0,-2.472071648E0,2.977654518E0
4.874262490E-1,-6.948101521E-1,1.447610497E0,-2.432275772E0,2.914498710E0
4.924207290E-1,-5.860590935E-1,1.390499830E0,-2.415407181E0,2.848007529E0
4.974152080E-1,-5.318698883E-1,1.312835693E0,-2.369297981E0,2.760434035E0
5.024096870E-1,-5.173459053E-1,1.213796735E0,-2.318111420E0,2.667318851E0
5.074041660E-1,-5.230867863E-1,1.097364187E0,-2.262093544E0,2.568052793E0
5.123986450E-1,-5.961759090E-1,9.534713030E-1,-2.253704071E0,2.518673317E0
5.173931240E-1,-6.978089809E-1,8.055920005E-1,-2.235918045E0,2.476942742E0
5.223876040E-1,-8.461165428E-1,6.390972137E-1,-2.152429581E0,2.399439841E0
5.273820830E-1,-9.876728058E-1,4.445413053E-1,-2.094561577E0,2.358029419E0
5.323765620E-1,-1.069516897E0,2.220459580E-1,-2.019995689E0,2.296421866E0
5.373710410E-1,-1.247079134E0,-1.561307907E-1,-2.166930676E0,2.505029290E0
5.423655200E-1,-1.439904213E0,-5.079287291E-1,-2.468578815E0,2.902619008E0
5.473599990E-1,-1.264444828E0,-6.153913736E-1,-2.384533405E0,2.768307574E0
5.523544790E-1,-7.516164780E-1,-6.143165827E-1,-2.080190182E0,2.295539890E0
5.573489580E-1,-2.669470310E-1,-6.439244747E-1,-1.775075912E0,1.907038002E0
5.623434370E-1,9.724688530E-2,-6.381313801E-1,-1.672249794E0,1.792508853E0
5.673379160E-1,2.783727646E-1,-5.502310991E-1,-1.659976959E0,1.770810313E0
5.723323950E-1,1.012616158E-1,-1.724416018E-1,-1.604121208E0,1.616537928E0
5.773268740E-1,-1.327059269E-1,3.787220716E-1,-1.509489059E0,1.561921410E0
5.823213540E-1,-1.578927040E-1,8.977048397E-1,-1.380842209E0,1.654548062E0
5.873158330E-1,-7.689714432E-2,1.356475472E0,-1.203703880E0,1.815169940E0
5.923103120E-1,7.910394669E-2,1.755939603E0,-9.444570541E-1,1.995389799E0
5.973047910E-1,1.978411674E-1,2.158711433E0,-5.126142502E-1,2.227543389E0
6.022992700E-1,3.102340698E-1,2.470125198E0,-1.128244400E-1,2.492086080E0
6.072937490E-1,4.044325352E-1,2.667364120E0,5.651664734E-2,2.698442358E0
6.122882290E-1,4.977228642E-1,2.742012024E0,6.902503967E-2,2.787673303E0
6.172827080E-1,6.364049911E-1,2.761695623E0,3.542137146E-2,2.834295098E0
6.222771870E-1,7.717945576E-1,2.693650723E0,4.636955261E-2,2.802422379E0
6.272716660E-1,9.079163074E-1,2.510142088E0,5.405902863E-2,2.669840389E0
6.322661450E-1,1.049002409E0,2.273906231E0,-3.234863281E-3,2.504209669E0
6.372606240E-1,9.384236336E-1,2.132788897E0,-2.390747070E-1,2.342345856E0
6.422551040E-1,9.542176723E-1,2.033906460E0,-5.288143158E-1,2.308018941E0
6.472495830E-1,1.058645248E0,1.844297171E0,-7.393245697E-1,2.251391267E0
6.522440620E-1,1.100242376E0,1.612624764E0,-6.814374924E-1,2.067715883E0
6.572385410E-1,1.108867645E0,1.368206382E0,-5.093650818E-1,1.833310924E0
6.622330200E-1,1.132854223E0,1.116474628E0,-3.237495422E-1,1.623172219E0
6.672274990E-1,1.182101011E0,8.677361012E-1,-8.187294006E-2,1.468683737E0
6.722219790E-1,1.247126579E0,6.843965650E-1,1.874313354E-1,1.434870680E0
6.772164580E-1,1.270806313E0,5.760421753E-1,3.795328140E-1,1.445966261E0
6.822109370E-1,1.134515285E0,5.852512717E-1,4.808588028E-1,1.364136787E0
6.872054160E-1,9.013903141E-1,7.161923647E-1,5.206289291E-1,1.263523044E0
6.921998950E-1,6.772024632E-1,9.112237692E-1,5.705480576E-1,1.270612852E0
6.971943740E-1,5.052063465E-1,1.089159846E0,6.019506454E-1,1.343073789E0
7.021888540E-1,3.379678726E-1,1.221643925E0,6.767034531E-1,1.436858979E0
7.071833330E-1,1.517641544E-1,1.299664140E0,8.325614929E-1,1.550908725E0
7.121778120E-1,-1.577222347E-2,1.309373617E0,1.035810471E0,1.669614136E0
7.171722910E-1,-1.466443539E-1,1.270255089E0,1.148446083E0,1.718714916E0
7.221667700E-1,-2.373194695E-1,1.163802385E0,1.204605103E0,1.691694410E0
7.271612490E-1,-2.744764090E-1,1.004656672E0,1.242851257E0,1.621527544E0
7.321557290E-1,-2.874661684E-1,7.884353399E-1,1.291931152E0,1.540569111E0
7.371502080E-1,-3.288421631E-1,5.582466125E-1,1.337526321E0,1.486187441E0
7.421446870E-1,-3.457995653E-1,3.853727281E-1,1.313038826E0,1.411439137E0
7.471391660E-1,-3.662427664E-1,2.885478139E-1,1.304422379E0,1.385247756E0
7.521336450E-1,-3.937253952E-1,2.387572676E-1,1.344664574E0,1.421318942E0
7.571281240E-1,-4.366918802E-1,2.404817939E-1,1.457058907E0,1.539984399E0
7.621226040E-1,-5.275294781E-1,2.697138488E-1,1.664790154E0,1.767076446E0
7.671170830E-1,-6.464182138E-1,2.931258678E-1,1.876798630E0,2.006527443E0
7.721115620E-1,-8.118916750E-1,2.348186970E-1,2.097786903E0,2.261640512E0
7.771060410E-1,-1.037344217E0,2.917677164E-2,2.127792358E0,2.367368714E0
7.821005200E-1,-1.107254028E0,-2.029696107E-1,2.186628342E0,2.459380339E0
7.870949990E-1,-1.141038179E0,-4.411767423E-1,2.292929649E0,2.598871182E0
7.920894790E-1,-1.115440369E0,-6.549968123E-1,2.098955154E0,2.465530527E0
7.970839580E-1,-9.033243656E-1,-7.285361886E-1,1.939596176E0,2.260263970E0
8.020784890E-1,-6.500918865E-1,-5.382111073E-1,1.962223053E0,2.136026677E0
8.070730200E-1,-4.482151270E-1,-2.666420937E-1,1.985123634E0,2.052488892E0
8.120675520E-1,-3.030755520E-1,-8.144193888E-2,1.680097580E0,1.709156358E0
8.170620830E-1,-2.520796061E-1,2.716064453E-2,1.144223213E0,1.171976361E0
8.220566140E-1,-2.408701181E-1,7.877278328E-2,6.545343399E-1,7.018823030E-1
8.270511450E-1,-1.107170582E-1,2.167931795E-1,6.386413574E-1,6.834620202E-1
8.320456770E-1,7.100582123E-2,3.642500639E-1,1.179290771E0,1.236303628E0
8.370402080E-1,-3.542113304E-2,2.154664993E-1,1.740455627E0,1.754099843E0
8.420347390E-1,-2.675393820E-1,-6.698489189E-2,1.874954224E0,1.895129979E0
8.470292700E-1,-5.147565603E-1,-3.594684005E-1,1.794777870E0,1.901425636E0
8.520238020E-1,-5.857096910E-1,-5.915186405E-1,1.958070755E0,2.127672725E0
8.570183330E-1,-4.860708714E-1,-7.693135738E-1,2.277812004E0,2.452862775E0
8.620128640E-1,-4.125541449E-1,-9.418277740E-1,2.553417206E0,2.752667780E0
8.670073950E-1,-4.562405348E-1,-1.085917234E0,2.742577553E0,2.984812104E0
8.720019270E-1,-5.505650043E-1,-1.149796367E0,3.012662888E0,3.271282804E0
8.769964580E-1,-6.676174402E-1,-1.162773132E0,3.296846390E0,3.559065962E0
8.819909890E-1,-7.793127298E-1,-1.168388605E0,3.414385796E0,3.691949434E0
8.869855200E-1,-7.902890444E-1,-1.186250091E0,3.385378838E0,3.673218742E0
8.919800520E-1,-7.284457684E-1,-1.235646486E0,3.239060402E0,3.542452225E0
8.969745830E-1,-6.540774107E-1,-1.316589832E0,3.056660652E0,3.391813731E0
9.019691140E-1,-6.218160391E-1,-1.405240774E0,2.709273338E0,3.114726126E0
9.069636450E-1,-6.477079391E-1,-1.496658683E0,2.239992142E0,2.770753974E0
9.119581770E-1,-7.239915133E-1,-1.547840118E0,1.705923080E0,2.414569589E0
9.169527080E-1,-8.721275330E-1,-1.573024392E0,1.140142441E0,2.129539142E0
9.219472390E-1,-1.099826813E0,-1.543350220E0,5.090017319E-1,1.962302648E0
9.269417700E-1,-1.372407198E0,-1.496705532E0,-1.303577423E-1,2.034851864E0
9.319363020E-1,-1.627129078E0,-1.432714820E0,-7.305154800E-1,2.287766085E0
9.369308330E-1,-1.849902868E0,-1.388936877E0,-1.186982155E0,2.600040943E0
9.419253640E-1,-2.070274591E0,-1.312302113E0,-1.495619774E0,2.871419897E0
9.469198950E-1,-2.294900179E0,-1.106935740E0,-1.709219933E0,3.068111201E0
9.519144270E-1,-2.574723482E0,-7.286492586E-1,-1.946871758E0,3.309144964E0
9.569089580E-1,-2.894897938E0,-4.082214832E-1,-2.255708694E0,3.692600786E0
9.619034370E-1,-3.201624632E0,-3.429883718E-1,-2.516036034E0,4.086377201E0
9.668979160E-1,-3.392159462E0,-2.262568474E-1,-2.756510258E0,4.376789551E0
9.718923950E-1,-3.334486961E0,-1.492170095E-1,-2.996194363E0,4.485337186E0
9.768868740E-1,-3.038964033E0,-2.217923403E-1,-3.168515682E0,4.395905580E0
9.818813540E-1,-2.705432177E0,-3.580846786E-1,-3.031141758E0,4.078652750E0
9.868758330E-1,-2.514209747E0,-5.826029778E-1,-2.595201492E0,3.660020173E0
9.918703120E-1,-2.359736204E0,-8.104662895E-1,-2.181135178E0,3.313994753E0
9.968647910E-1,-2.175307751E0,-9.526141882E-1,-1.798007011E0,2.978635059E0
1.001859270E0,-2.018726349E0,-9.774541855E-1,-1.483394623E0,2.689076489E0
1.006853749E0,-1.890106201E0,-9.057995081E-1,-1.331942558E0,2.483353615E0
1.011848229E0,-1.765233636E0,-8.010442257E-1,-1.328392029E0,2.349967451E0
1.016842708E0,-1.614825845E0,-6.926951408E-1,-1.424345016E0,2.261912419E0
1.021837187E0,-1.466503978E0,-6.338711977E-1,-1.528860092E0,2.211298215E0
1.026831666E0,-1.314359784E0,-6.249042749E-1,-1.656295776E0,2.204849812E0
1.031826145E0,-1.186076045E0,-6.516855955E-1,-1.754222870E0,2.215574051E0
1.036820624E0,-1.114324093E0,-7.142279148E-1,-1.827624321E0,2.256557191E0
1.041815104E0,-1.070017815E0,-7.504711151E-1,-1.876649857E0,2.286910515E0
1.046809583E0,-1.067487478E0,-7.511179447E-1,-1.891832352E0,2.298420616E0
1.051804062E0,-1.101988316E0,-7.306315899E-1,-1.911412239E0,2.324155226E0
1.056798541E0,-1.183396101E0,-6.842055321E-1,-1.911465645E0,2.349949883E0
1.061793020E0,-1.297670126E0,-6.213957071E-1,-1.920603752E0,2.399749811E0
1.066787499E0,-1.407051325E0,-5.563273430E-1,-1.953027725E0,2.470548692E0
1.071781979E0,-1.526145101E0,-5.030257702E-1,-1.999095917E0,2.564866133E0
1.076776458E0,-1.612362504E0,-4.658039808E-1,-2.077822685E0,2.670961120E0
1.081770937E0,-1.694522858E0,-4.394360781E-1,-2.150992393E0,2.773315716E0
1.086765416E0,-1.748797774E0,-4.186972380E-1,-2.285447121E0,2.908069733E0
1.091759895E0,-1.765542150E0,-4.318686724E-1,-2.438111305E0,3.041058429E0
1.096754374E0,-1.754101634E0,-4.642707109E-1,-2.594720364E0,3.166227029E0
1.101748854E0,-1.714169383E0,-5.156642199E-1,-2.774435520E0,3.301784172E0
1.106743333E0,-1.654907942E0,-5.761303902E-1,-2.977310181E0,3.454710181E0
1.111737812E0,-1.613944530E0,-6.358945370E-1,-3.251059532E0,3.684910703E0
1.116732291E0,-1.637563348E0,-7.612751722E-1,-3.691026211E0,4.109115245E0
1.121726770E0,-1.623078823E0,-8.370038271E-1,-3.996682167E0,4.394135708E0
1.126721249E0,-1.549882174E0,-8.056539297E-1,-3.954504967E0,4.323114912E0
1.131715729E0,-1.456372499E0,-6.865589619E-1,-3.852081299E0,4.175034658E0
1.136710208E0,-1.386828184E0,-5.230791569E-1,-3.932531357E0,4.202583383E0
1.141704687E0,-1.356463313E0,-3.822137117E-1,-4.156691551E0,4.389096113E0
