iter	MultiClass
0	1.037536766
1	0.9953060384
2	0.9449731077
3	0.9015316464
4	0.8620825111
5	0.8275083354
6	0.7894290147
7	0.7594373658
8	0.7263968968
9	0.7034618275
10	0.6693720385
11	0.6511713169
12	0.6307566508
13	0.6066734368
14	0.5910005967
15	0.5769048437
16	0.5652508555
17	0.5492660921
18	0.5341653472
19	0.516426423
20	0.503654973
21	0.489241992
22	0.4764603864
23	0.4630653849
24	0.4515508306
25	0.4377700691
26	0.4229747899
27	0.4134959627
28	0.4039521681
29	0.3909337493
30	0.3778875373
31	0.3696792344
32	0.3597994563
33	0.3528000991
34	0.3424980004
35	0.3321251052
36	0.3249361193
37	0.3159250226
38	0.308656626
39	0.300083294
40	0.2921609451
41	0.2867551541
42	0.2826602557
43	0.2752149732
44	0.2655340012
45	0.2596396485
46	0.254019292
47	0.2471876602
48	0.2423929634
49	0.2370623777
50	0.2324915484
51	0.2281732022
52	0.2238173615
53	0.2169580495
54	0.2122657302
55	0.2065458522
56	0.2019796483
57	0.1959107602
58	0.1917739508
59	0.1885073716
60	0.1850551328
61	0.1805149056
62	0.1753342043
63	0.1726944202
64	0.1670548669
65	0.163992742
66	0.1608604428
67	0.1567978084
68	0.1540879682
69	0.1517287755
70	0.1485312341
71	0.145903296
72	0.1427053509
73	0.1402357256
74	0.1374030122
75	0.1346034476
76	0.13229648
77	0.1302207478
78	0.1278002759
79	0.1252796334
80	0.1231734524
81	0.1214127314
82	0.119161409
83	0.1175935141
84	0.1154831557
85	0.1135375326
86	0.111249598
87	0.1091842005
88	0.1077807036
89	0.1059449331
90	0.1048704956
91	0.1029401297
92	0.1014223412
93	0.09948671762
94	0.09806736459
95	0.09654469231
96	0.09503397461
97	0.09391306835
98	0.09256862566
99	0.09099438395
100	0.08950286055
101	0.0884776423
102	0.08725932396
103	0.0855183924
104	0.0842217181
105	0.08346098743
106	0.08241311507
107	0.08125599609
108	0.08040133661
109	0.07908288761
110	0.0782372719
111	0.07732861448
112	0.07619438061
113	0.07536312653
114	0.07462725218
115	0.07379588532
116	0.07303971906
117	0.07236896046
118	0.07172540798
119	0.07084341799
120	0.07005750506
121	0.06902233909
122	0.06820758169
123	0.06738123138
124	0.06634661686
125	0.06563492911
126	0.06500801872
127	0.06454340133
128	0.06383010469
129	0.06338998624
130	0.06280049755
131	0.06226555095
132	0.06170818791
133	0.06118953299
134	0.06031790932
135	0.05980337371
136	0.05938268379
137	0.05874724645
138	0.05806907902
139	0.05764428465
140	0.05719336121
141	0.05654949672
142	0.05599488263
143	0.05567215703
144	0.05507782301
145	0.05465805317
146	0.054091839
147	0.05361063115
148	0.05330702704
149	0.05279633218
150	0.05234798034
151	0.05194322264
152	0.05141365536
153	0.05089356986
154	0.05055294677
155	0.05016319487
156	0.04973556684
157	0.04935398166
158	0.04896241792
159	0.04870554825
160	0.04839648428
161	0.04778848851
162	0.04750391095
163	0.04727782352
164	0.04698803006
165	0.04674468182
166	0.04651788085
167	0.04604477353
168	0.04573997698
169	0.04540375295
170	0.04507397508
171	0.04462733345
172	0.04437744952
173	0.04399160271
174	0.04359327013
175	0.04324384278
176	0.04281433759
177	0.0424934511
178	0.04213480188
179	0.04188100538
180	0.04154684423
181	0.0412758111
182	0.04098088748
183	0.04066892868
184	0.04047778791
185	0.04028171297
186	0.04000409989
187	0.0397981293
188	0.03951081399
189	0.03919100961
190	0.03894216016
191	0.0385613294
192	0.0383376477
193	0.03810908045
194	0.03786566708
195	0.03773333418
196	0.03748214776
197	0.03720780838
198	0.03691462009
199	0.03662673021
200	0.03642878835
201	0.03622214741
202	0.03596800486
203	0.03574505062
204	0.03556769651
205	0.03532400862
206	0.03517572836
207	0.03494005759
208	0.03472991458
209	0.03456802176
210	0.03431540634
211	0.03408423301
212	0.03393797788
213	0.03379651669
214	0.03358878407
215	0.03335450787
216	0.03318925689
217	0.03295609081
218	0.03277801742
219	0.0325914805
220	0.03238956332
221	0.03226491693
222	0.03208945999
223	0.03188598935
224	0.03161537728
225	0.03138518665
226	0.03125911884
227	0.03114838164
228	0.03093962821
229	0.03081148666
230	0.03061237682
231	0.0303873662
232	0.03019765684
233	0.0300516685
234	0.0299149161
235	0.02975791574
236	0.02955527738
237	0.02942708983
238	0.02929758691
239	0.02919047186
240	0.02904282049
241	0.02889565547
242	0.02875457461
243	0.02866319807
244	0.02851807746
245	0.02838443818
246	0.02821761387
247	0.02806141682
248	0.0278514099
249	0.02770498663
250	0.02756062896
251	0.02739844788
252	0.02726744549
253	0.02712475055
254	0.02703532298
255	0.02691086996
256	0.02674082962
257	0.02664387797
258	0.02651937701
259	0.0263915149
260	0.02627499028
261	0.02617918572
262	0.02603873262
263	0.02588740354
264	0.02581184901
265	0.02573998043
266	0.02559925084
267	0.0254779028
268	0.02540297347
269	0.02528901058
270	0.02516458868
271	0.02502507379
272	0.02492322898
273	0.02484056491
274	0.02472516097
275	0.02461465678
276	0.0245400956
277	0.02444303266
278	0.02431593153
279	0.0241504725
280	0.02402440676
281	0.02392248021
282	0.02385898734
283	0.02371181733
284	0.02363657414
285	0.02351607938
286	0.02343316176
287	0.02331113557
288	0.02321090207
289	0.02312543212
290	0.02302982797
291	0.02288129222
292	0.02278969355
293	0.02270787765
294	0.02261114782
295	0.02245948692
296	0.02240080206
297	0.02232599014
298	0.02222230015
299	0.02215517309
300	0.02206223883
301	0.02198160946
302	0.02186350106
303	0.0217610878
304	0.02165136402
305	0.02157288083
306	0.0214922017
307	0.02139045542
308	0.021274818
309	0.02119875968
310	0.02112978882
311	0.02101643709
312	0.02092953283
313	0.02084803559
314	0.02076008899
315	0.02068234573
316	0.02063517789
317	0.02057918721
318	0.02051802572
319	0.02044108366
320	0.02037789461
321	0.02029293668
322	0.02024139901
323	0.02015313239
324	0.02007214811
325	0.02001612996
326	0.01992477441
327	0.01985497388
328	0.01975490748
329	0.01969289227
330	0.0196227434
331	0.01954838353
332	0.01948635258
333	0.01940070758
334	0.01930778319
335	0.01924779045
336	0.01917158117
337	0.01910866579
338	0.01905141577
339	0.01898042656
340	0.01890281249
341	0.01884804431
342	0.01880362362
343	0.01875997117
344	0.01871029351
345	0.01864961549
346	0.01856452605
347	0.01850862903
348	0.01845981832
349	0.01840055826
350	0.01831634695
351	0.01827365281
352	0.01819800562
353	0.01813654713
354	0.01807681988
355	0.01800824107
356	0.01793472813
357	0.01786744257
358	0.01780228881
359	0.01775440458
360	0.0177129244
361	0.01765503991
362	0.01762297758
363	0.01758875044
364	0.01753781393
365	0.0174956628
366	0.0174352666
367	0.01737746136
368	0.01733652215
369	0.01727232013
370	0.0172176291
371	0.01717353451
372	0.01708993787
373	0.01704298691
374	0.01697665529
375	0.01692275511
376	0.01687969267
377	0.01682529505
378	0.01678680343
379	0.01673650701
380	0.01668388442
381	0.01662788756
382	0.01658498555
383	0.01654367002
384	0.01649092666
385	0.01643564872
386	0.01639000363
387	0.0163459074
388	0.01630179401
389	0.01625823121
390	0.01622091453
391	0.01617155534
392	0.01611492562
393	0.01607113878
394	0.01602638544
395	0.01599268987
396	0.01594016034
397	0.01588990524
398	0.01583541612
399	0.01577867842
400	0.01573628479
401	0.01570105719
402	0.01566285647
403	0.01560695236
404	0.01553810284
405	0.01548657613
406	0.01544398054
407	0.01540935954
408	0.01537008194
409	0.01533391198
410	0.01528501743
411	0.01524629749
412	0.01521293577
413	0.01518017101
414	0.01513892494
415	0.01509711687
416	0.01506174594
417	0.01501924256
418	0.01498025282
419	0.01495787676
420	0.01491121692
421	0.01487002379
422	0.01483931224
423	0.01477591599
424	0.01472638705
425	0.01468850283
426	0.01463887091
427	0.01460844845
428	0.01457213735
429	0.01452376239
430	0.01449783248
431	0.01445475754
432	0.01442383706
433	0.01438669921
434	0.01435598907
435	0.01431877736
436	0.01428043703
437	0.01423687927
438	0.01419946083
439	0.01416335569
440	0.01412333144
441	0.01406068694
442	0.01402760678
443	0.01399324891
444	0.0139475153
445	0.01391995878
446	0.01387645243
447	0.01382831286
448	0.01378429436
449	0.01374776098
450	0.01371158563
451	0.01367722956
452	0.01363953206
453	0.01359437075
454	0.01355194306
455	0.01351768829
456	0.013482952
457	0.01343137464
458	0.01338920086
459	0.01336157139
460	0.013338226
461	0.01330182563
462	0.01327340869
463	0.0132440198
464	0.0132105745
465	0.0131812897
466	0.01314752167
467	0.01312190603
468	0.01309540236
469	0.01304603573
470	0.01301942842
471	0.01298054382
472	0.01295421622
473	0.01292647594
474	0.0129001453
475	0.01287291411
476	0.01284671152
477	0.01281522322
478	0.01277823288
